k,S(k)
3.535533905932737864e-01,3.902508703194186712e-27
1.060660171779821415e+00,3.939640341798953159e+03
1.767766952966368876e+00,3.788033212582539363e+03
2.474873734152916782e+00,3.500556755895031529e+03
3.181980515339463800e+00,3.195331632751586767e+03
3.889087296526011706e+00,2.807862718996249896e+03
4.596194077712558723e+00,2.474412025959379207e+03
5.303300858899106629e+00,2.254622695132685749e+03
6.010407640085654535e+00,1.919423779790611206e+03
6.717514421272202441e+00,1.739073411575528780e+03
7.424621202458749458e+00,1.539413593850658572e+03
8.131727983645298252e+00,1.360403406796405761e+03
8.838834764831844382e+00,1.226012776770004848e+03
9.545941546018392287e+00,1.102984897241752606e+03
1.025304832720494019e+01,1.011914350952960831e+03
1.096015510839148632e+01,9.066842674034164702e+02
1.166726188957803600e+01,8.404079080904608645e+02
1.237436867076458213e+01,7.708454441120341016e+02
1.308147545195113004e+01,7.149706208681317321e+02
1.378858223313767795e+01,6.561416550189331929e+02
1.449568901432422408e+01,6.248668089993172998e+02
1.520279579551077376e+01,5.801446027968459020e+02
1.590990257669731989e+01,5.449072804207444278e+02
1.661700935788386602e+01,5.090941470703508003e+02
1.732411613907041570e+01,4.950996978171851310e+02
1.803122292025696538e+01,4.662052543261784194e+02
1.873832970144351151e+01,4.488556512823364528e+02
1.944543648263005764e+01,4.290064429151361196e+02
2.015254326381660377e+01,4.180762738493748998e+02
2.085965004500315345e+01,4.021662804955093975e+02
2.156675682618970313e+01,3.808267782399666999e+02
2.227386360737624926e+01,3.827188052696359932e+02
2.298097038856279539e+01,3.689824033087699036e+02
2.368807716974934152e+01,3.591861355182380748e+02
2.439518395093589120e+01,3.542482950124046397e+02
2.510229073212244089e+01,3.408228871727034175e+02
2.580939751330898702e+01,3.144494659601096487e+02
2.651650429449553314e+01,2.951249658493297829e+02
2.722361107568207927e+01,2.822719478506261908e+02
2.793071785686862896e+01,2.700910133501037649e+02
2.863782463805517864e+01,2.600924889604068539e+02
2.934493141924172477e+01,2.564271316243272167e+02
3.005203820042827090e+01,2.466917360556466008e+02
3.075914498161481703e+01,2.449745010180355393e+02
3.146625176280136671e+01,2.380824670276887502e+02
3.217335854398791639e+01,2.329177106693183248e+02
3.288046532517446252e+01,2.322133674207440492e+02
3.358757210636100865e+01,2.306986401216725540e+02
3.429467888754756189e+01,2.308005646748953836e+02
3.500178566873410091e+01,2.302003049471379654e+02
