k,S(k)
3.535533905932737864e-01,4.288660109908204947e-27
1.060660171779821415e+00,2.000339739864092917e+04
1.767766952966368876e+00,1.289135302988275362e+04
2.474873734152916782e+00,9.662609280071807007e+03
3.181980515339463800e+00,6.198660047349294473e+03
3.889087296526011706e+00,4.172312378864694438e+03
4.596194077712558723e+00,3.397795873339566242e+03
5.303300858899106629e+00,2.696723614662357704e+03
6.010407640085654535e+00,2.084536628116996781e+03
6.717514421272202441e+00,1.720491650943927425e+03
7.424621202458749458e+00,1.462346066363728369e+03
8.131727983645298252e+00,1.232066432329219197e+03
8.838834764831844382e+00,1.044611751096637136e+03
9.545941546018392287e+00,9.282302835742369780e+02
1.025304832720494019e+01,8.206493742507869911e+02
1.096015510839148632e+01,7.153488475396599142e+02
1.166726188957803600e+01,6.433585143995469480e+02
1.237436867076458213e+01,5.899581803871061538e+02
1.308147545195113004e+01,5.381114650967869011e+02
1.378858223313767795e+01,4.958748098114193112e+02
1.449568901432422408e+01,4.614907140526640887e+02
1.520279579551077376e+01,4.312874621450382620e+02
1.590990257669731989e+01,4.001349952556863627e+02
1.661700935788386602e+01,3.704720049714363199e+02
1.732411613907041570e+01,3.601742298544562573e+02
1.803122292025696538e+01,3.352981746821851630e+02
1.873832970144351151e+01,3.210531409971101766e+02
1.944543648263005764e+01,3.012645645434133712e+02
2.015254326381660377e+01,2.999017408182942290e+02
2.085965004500315345e+01,2.808899022961334140e+02
2.156675682618970313e+01,2.713085313768188485e+02
2.227386360737624926e+01,2.697178557961958631e+02
2.298097038856279539e+01,2.595966662803617737e+02
2.368807716974934152e+01,2.512627752342377505e+02
2.439518395093589120e+01,2.483760262425590213e+02
2.510229073212244089e+01,2.351342917297373845e+02
2.580939751330898702e+01,2.179399164547206738e+02
2.651650429449553314e+01,2.051243533557514809e+02
2.722361107568207927e+01,1.945312058203172114e+02
2.793071785686862896e+01,1.876732265683659762e+02
2.863782463805517864e+01,1.808733756304467022e+02
2.934493141924172477e+01,1.764069983279896974e+02
3.005203820042827090e+01,1.708397258580338018e+02
3.075914498161481703e+01,1.661367812606823691e+02
3.146625176280136671e+01,1.672366617934246165e+02
3.217335854398791639e+01,1.602107518062727820e+02
3.288046532517446252e+01,1.586571471103482054e+02
3.358757210636100865e+01,1.574164329747823103e+02
3.429467888754756189e+01,1.565056114386026707e+02
3.500178566873410091e+01,1.510608848585692385e+02
