k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,4.832656184636263788e+03
1.767766952966368876e+00,4.801847048286675999e+03
2.474873734152916782e+00,4.726301693826928386e+03
3.181980515339463800e+00,3.715830580098563587e+03
3.889087296526011706e+00,3.080550407291288138e+03
4.596194077712558723e+00,2.878984245082828238e+03
5.303300858899106629e+00,2.432976380628158040e+03
6.010407640085654535e+00,1.999988463406775963e+03
6.717514421272202441e+00,1.829634258707050321e+03
7.424621202458749458e+00,1.563750907146996724e+03
8.131727983645298252e+00,1.348990108242053338e+03
8.838834764831844382e+00,1.197531356200791379e+03
9.545941546018392287e+00,1.083998861182745941e+03
1.025304832720494019e+01,9.781458278177187822e+02
1.096015510839148632e+01,8.982208650497346980e+02
1.166726188957803600e+01,8.193819215640930906e+02
1.237436867076458213e+01,7.498483838515697926e+02
1.308147545195113004e+01,6.873270906369115210e+02
1.378858223313767795e+01,6.365535586730934483e+02
1.449568901432422408e+01,5.924507678063280309e+02
1.520279579551077376e+01,5.657910782355696711e+02
1.590990257669731989e+01,5.074507413758897201e+02
1.661700935788386602e+01,4.889302782639376801e+02
1.732411613907041570e+01,4.730523826325583627e+02
1.803122292025696538e+01,4.468367428321716943e+02
1.873832970144351151e+01,4.230953702735915272e+02
1.944543648263005764e+01,4.039638454950155051e+02
2.015254326381660377e+01,3.970846178914925986e+02
2.085965004500315345e+01,3.801152767041473908e+02
2.156675682618970313e+01,3.661309155154715995e+02
2.227386360737624926e+01,3.585417047350115354e+02
2.298097038856279539e+01,3.466746860634120253e+02
2.368807716974934152e+01,3.368014316124368293e+02
2.439518395093589120e+01,3.316302318965694553e+02
2.510229073212244089e+01,3.131505673164841710e+02
2.580939751330898702e+01,2.958371406345771106e+02
2.651650429449553314e+01,2.763881871568628981e+02
2.722361107568207927e+01,2.639287732054632443e+02
2.793071785686862896e+01,2.522779140813157710e+02
2.863782463805517864e+01,2.433361692481264527e+02
2.934493141924172477e+01,2.337704885855996793e+02
3.005203820042827090e+01,2.317825744043516636e+02
3.075914498161481703e+01,2.305894805802218457e+02
3.146625176280136671e+01,2.203404382133298327e+02
3.217335854398791639e+01,2.274380343893090810e+02
3.288046532517446252e+01,2.140951718991349253e+02
3.358757210636100865e+01,2.095687713658130633e+02
3.429467888754756189e+01,2.046776830805539760e+02
3.500178566873410091e+01,2.390982104938104271e+02
