k,S(k)
3.535533905932737864e-01,5.166582425252536971e-27
1.060660171779821415e+00,1.271368437166055082e+05
1.767766952966368876e+00,1.979491534334313474e+04
2.474873734152916782e+00,1.070755608260508234e+04
3.181980515339463800e+00,4.838345556204001696e+03
3.889087296526011706e+00,2.904934257418738071e+03
4.596194077712558723e+00,2.289414865142206054e+03
5.303300858899106629e+00,1.697831405235281181e+03
6.010407640085654535e+00,1.245062348855208711e+03
6.717514421272202441e+00,1.012699531860074785e+03
7.424621202458749458e+00,8.687033606047621106e+02
8.131727983645298252e+00,7.188667938414386072e+02
8.838834764831844382e+00,6.149568468671169512e+02
9.545941546018392287e+00,5.360418749524787927e+02
1.025304832720494019e+01,4.825486035411717580e+02
1.096015510839148632e+01,4.204991190696975991e+02
1.166726188957803600e+01,3.865919726192640837e+02
1.237436867076458213e+01,3.475844038767107804e+02
1.308147545195113004e+01,3.163550831396227068e+02
1.378858223313767795e+01,2.914284116338957347e+02
1.449568901432422408e+01,2.723840325659307382e+02
1.520279579551077376e+01,2.553260662262977689e+02
1.590990257669731989e+01,2.364015182628450873e+02
1.661700935788386602e+01,2.212257983985209648e+02
1.732411613907041570e+01,2.162228180052033224e+02
1.803122292025696538e+01,2.024107939386454689e+02
1.873832970144351151e+01,1.928274175329459865e+02
1.944543648263005764e+01,1.844246639184102321e+02
2.015254326381660377e+01,1.815391002207781526e+02
2.085965004500315345e+01,1.710518440248068828e+02
2.156675682618970313e+01,1.640199090024860311e+02
2.227386360737624926e+01,1.624483540911591035e+02
2.298097038856279539e+01,1.569634977471609716e+02
2.368807716974934152e+01,1.529351279390251364e+02
2.439518395093589120e+01,1.492028646768128795e+02
2.510229073212244089e+01,1.419478555891213603e+02
2.580939751330898702e+01,1.353284480353862875e+02
2.651650429449553314e+01,1.250637919243461340e+02
2.722361107568207927e+01,1.194948318781336098e+02
2.793071785686862896e+01,1.137483644756580503e+02
2.863782463805517864e+01,1.108226172726062373e+02
2.934493141924172477e+01,1.069485220862839157e+02
3.005203820042827090e+01,1.046385441653278860e+02
3.075914498161481703e+01,1.009934877380226510e+02
3.146625176280136671e+01,1.015434026740987434e+02
3.217335854398791639e+01,1.002227372776502534e+02
3.288046532517446252e+01,9.892978628413270314e+01
3.358757210636100865e+01,9.839284893446524904e+01
3.429467888754756189e+01,9.642023546262464606e+01
3.500178566873410091e+01,9.557608479918113176e+01
