k,S(k)
3.535533905932737864e-01,4.354598478481493714e-27
1.060660171779821415e+00,4.445521774395613465e+04
1.767766952966368876e+00,2.033156800421599837e+04
2.474873734152916782e+00,1.099187783869956183e+04
3.181980515339463800e+00,6.774314011493892394e+03
3.889087296526011706e+00,4.074412376236981800e+03
4.596194077712558723e+00,3.167157728311199207e+03
5.303300858899106629e+00,2.414154155639957935e+03
6.010407640085654535e+00,1.813166094783544850e+03
6.717514421272202441e+00,1.517838310311245550e+03
7.424621202458749458e+00,1.245310659188658292e+03
8.131727983645298252e+00,1.037046359008572153e+03
8.838834764831844382e+00,8.933805599829270250e+02
9.545941546018392287e+00,7.646908694405112783e+02
1.025304832720494019e+01,6.795248813136349781e+02
1.096015510839148632e+01,5.967144496093594626e+02
1.166726188957803600e+01,5.381751310126360295e+02
1.237436867076458213e+01,4.887342539629979115e+02
1.308147545195113004e+01,4.442570421828486928e+02
1.378858223313767795e+01,4.092817769680016795e+02
1.449568901432422408e+01,3.801854029525654255e+02
1.520279579551077376e+01,3.539970128339813300e+02
1.590990257669731989e+01,3.277532816773141349e+02
1.661700935788386602e+01,3.042860772175104671e+02
1.732411613907041570e+01,2.994478187450708333e+02
1.803122292025696538e+01,2.742405220071977396e+02
1.873832970144351151e+01,2.657683198679023917e+02
1.944543648263005764e+01,2.505854238335474520e+02
2.015254326381660377e+01,2.463964340699010904e+02
2.085965004500315345e+01,2.336163519426917219e+02
2.156675682618970313e+01,2.217197905875592028e+02
2.227386360737624926e+01,2.241674744272679618e+02
2.298097038856279539e+01,2.157191730132842906e+02
2.368807716974934152e+01,2.079911534169602305e+02
2.439518395093589120e+01,2.047871034059300825e+02
2.510229073212244089e+01,1.953980157101292718e+02
2.580939751330898702e+01,1.820336898717793588e+02
2.651650429449553314e+01,1.698438192263081987e+02
2.722361107568207927e+01,1.601310372996202034e+02
2.793071785686862896e+01,1.566924811422053381e+02
2.863782463805517864e+01,1.507487589496509770e+02
2.934493141924172477e+01,1.446474988684500147e+02
3.005203820042827090e+01,1.425361823474783591e+02
3.075914498161481703e+01,1.370124881658261131e+02
3.146625176280136671e+01,1.362526539328135300e+02
3.217335854398791639e+01,1.337543600048879568e+02
3.288046532517446252e+01,1.335769516715051566e+02
3.358757210636100865e+01,1.308293431296637266e+02
3.429467888754756189e+01,1.313013591664231967e+02
3.500178566873410091e+01,1.284864798112951689e+02
