k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,1.943037061028915341e+05
1.767766952966368876e+00,1.249836520683499111e+04
2.474873734152916782e+00,7.318326549293670723e+03
3.181980515339463800e+00,4.535173775056055092e+03
3.889087296526011706e+00,2.174760543420528393e+03
4.596194077712558723e+00,1.658260475956156370e+03
5.303300858899106629e+00,1.271984037419613060e+03
6.010407640085654535e+00,9.201130261399205210e+02
6.717514421272202441e+00,7.627993338024767809e+02
7.424621202458749458e+00,6.456151524405411237e+02
8.131727983645298252e+00,5.329218478727486854e+02
8.838834764831844382e+00,4.590037165537548844e+02
9.545941546018392287e+00,4.026484551852111622e+02
1.025304832720494019e+01,3.636903769731663374e+02
1.096015510839148632e+01,3.157044548095824439e+02
1.166726188957803600e+01,2.866728517122613766e+02
1.237436867076458213e+01,2.613725455438543008e+02
1.308147545195113004e+01,2.384607853764148047e+02
1.378858223313767795e+01,2.193438735170427378e+02
1.449568901432422408e+01,2.060652966671799504e+02
1.520279579551077376e+01,1.947326955629364988e+02
1.590990257669731989e+01,1.809632919493464271e+02
1.661700935788386602e+01,1.669547749724146684e+02
1.732411613907041570e+01,1.647111567325172814e+02
1.803122292025696538e+01,1.535871255215846816e+02
1.873832970144351151e+01,1.474023281319394414e+02
1.944543648263005764e+01,1.411829788823094702e+02
2.015254326381660377e+01,1.394324550477351465e+02
2.085965004500315345e+01,1.314573325928932093e+02
2.156675682618970313e+01,1.260809154400311058e+02
2.227386360737624926e+01,1.255744792593044536e+02
2.298097038856279539e+01,1.210179163561970483e+02
2.368807716974934152e+01,1.177621116391220113e+02
2.439518395093589120e+01,1.165353127773979196e+02
2.510229073212244089e+01,1.110190588073958082e+02
2.580939751330898702e+01,1.042811824003066619e+02
2.651650429449553314e+01,9.797619929744918466e+01
2.722361107568207927e+01,9.242435305966067460e+01
2.793071785686862896e+01,8.957039339765235297e+01
2.863782463805517864e+01,8.680443393319330880e+01
2.934493141924172477e+01,8.447267732248643313e+01
3.005203820042827090e+01,8.199765311714088512e+01
3.075914498161481703e+01,8.051996664202820853e+01
3.146625176280136671e+01,7.977812869827371856e+01
3.217335854398791639e+01,7.834016381812891439e+01
3.288046532517446252e+01,7.862649376267398793e+01
3.358757210636100865e+01,7.661999177533431293e+01
3.429467888754756189e+01,7.628890483250401644e+01
3.500178566873410091e+01,7.600989446592446086e+01
