k,S(k)
3.535533905932737864e-01,4.089058579364658005e-27
1.060660171779821415e+00,6.385231590221872466e+03
1.767766952966368876e+00,6.147156443624000531e+03
2.474873734152916782e+00,5.424407917219465162e+03
3.181980515339463800e+00,4.433938132743405731e+03
3.889087296526011706e+00,3.519412778814230023e+03
4.596194077712558723e+00,3.001171697121848410e+03
5.303300858899106629e+00,2.566465723749514382e+03
6.010407640085654535e+00,2.120743288290704186e+03
6.717514421272202441e+00,1.847527526044891829e+03
7.424621202458749458e+00,1.606582530060966064e+03
8.131727983645298252e+00,1.372839288349478466e+03
8.838834764831844382e+00,1.197470050417156017e+03
9.545941546018392287e+00,1.063938429105834757e+03
1.025304832720494019e+01,9.642450102979754547e+02
1.096015510839148632e+01,8.622126966161441715e+02
1.166726188957803600e+01,7.801331968652823434e+02
1.237436867076458213e+01,7.090361210842597757e+02
1.308147545195113004e+01,6.471792140140024685e+02
1.378858223313767795e+01,5.981939811205168098e+02
1.449568901432422408e+01,5.622108290011221925e+02
1.520279579551077376e+01,5.283853510856927187e+02
1.590990257669731989e+01,4.894794072624694650e+02
1.661700935788386602e+01,4.551195828281813647e+02
1.732411613907041570e+01,4.453651775884521840e+02
1.803122292025696538e+01,4.149673484675719806e+02
1.873832970144351151e+01,3.974352369258884323e+02
1.944543648263005764e+01,3.802812397496917924e+02
2.015254326381660377e+01,3.723505725282860226e+02
2.085965004500315345e+01,3.534138608004067805e+02
2.156675682618970313e+01,3.382752845742892305e+02
2.227386360737624926e+01,3.373324182861405234e+02
2.298097038856279539e+01,3.218220373151185072e+02
2.368807716974934152e+01,3.146246202185574816e+02
2.439518395093589120e+01,3.119151301606211177e+02
2.510229073212244089e+01,2.972385264283030324e+02
2.580939751330898702e+01,2.771264366470356322e+02
2.651650429449553314e+01,2.558597817567237485e+02
2.722361107568207927e+01,2.440411624280013996e+02
2.793071785686862896e+01,2.357678198221301216e+02
2.863782463805517864e+01,2.258239511799803552e+02
2.934493141924172477e+01,2.212333651014952238e+02
3.005203820042827090e+01,2.151144525944689008e+02
3.075914498161481703e+01,2.090884711715501965e+02
3.146625176280136671e+01,2.064647905403072059e+02
3.217335854398791639e+01,2.062738714974842935e+02
3.288046532517446252e+01,2.011157919173752759e+02
3.358757210636100865e+01,1.971585027715798049e+02
3.429467888754756189e+01,2.016697360324872079e+02
3.500178566873410091e+01,1.899967432684513824e+02
