k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,3.272496115608229957e+03
1.767766952966368876e+00,3.212934369599073761e+03
2.474873734152916782e+00,3.017313279621047968e+03
3.181980515339463800e+00,2.734381575499903192e+03
3.889087296526011706e+00,2.452030061033510719e+03
4.596194077712558723e+00,2.266000915373812859e+03
5.303300858899106629e+00,2.050939723746664640e+03
6.010407640085654535e+00,1.796632168220369294e+03
6.717514421272202441e+00,1.652366288154349604e+03
7.424621202458749458e+00,1.497362524478351133e+03
8.131727983645298252e+00,1.332934730628833222e+03
8.838834764831844382e+00,1.203190268643463696e+03
9.545941546018392287e+00,1.095646331978672379e+03
1.025304832720494019e+01,1.008926146448758459e+03
1.096015510839148632e+01,9.110248579665853867e+02
1.166726188957803600e+01,8.562262896057752641e+02
1.237436867076458213e+01,7.905003669821182939e+02
1.308147545195113004e+01,7.353664262897146955e+02
1.378858223313767795e+01,6.811146734824997111e+02
1.449568901432422408e+01,6.414454960005535895e+02
1.520279579551077376e+01,6.082007175919659403e+02
1.590990257669731989e+01,5.690305159453374699e+02
1.661700935788386602e+01,5.299368508007089531e+02
1.732411613907041570e+01,5.218284409940968089e+02
1.803122292025696538e+01,4.906113575428818763e+02
1.873832970144351151e+01,4.721948861219789251e+02
1.944543648263005764e+01,4.521272105571761131e+02
2.015254326381660377e+01,4.425316147866901133e+02
2.085965004500315345e+01,4.214540700529606170e+02
2.156675682618970313e+01,4.063315604766104343e+02
2.227386360737624926e+01,4.006190864425706764e+02
2.298097038856279539e+01,3.906057981334839155e+02
2.368807716974934152e+01,3.790889950820453578e+02
2.439518395093589120e+01,3.745666616017429646e+02
2.510229073212244089e+01,3.562360970745588702e+02
2.580939751330898702e+01,3.360014713831073436e+02
2.651650429449553314e+01,3.136134187117620513e+02
2.722361107568207927e+01,3.011422183568354285e+02
2.793071785686862896e+01,2.880074579698753610e+02
2.863782463805517864e+01,2.797388522906737762e+02
2.934493141924172477e+01,2.695645063331202209e+02
3.005203820042827090e+01,2.679967232860859667e+02
3.075914498161481703e+01,2.604323356081995371e+02
3.146625176280136671e+01,2.547229459263398894e+02
3.217335854398791639e+01,2.514362376797876948e+02
3.288046532517446252e+01,2.486305539407180731e+02
3.358757210636100865e+01,2.431784380553881419e+02
3.429467888754756189e+01,2.358195784491118161e+02
3.500178566873410091e+01,2.473875873286608851e+02
