k,S(k)
2.404163056034261392e-01,2.589928271845565178e-12
7.212489168102784731e-01,0.000000000000000000e+00
1.202081528017130641e+00,2.477278922033656272e+03
1.682914139223983030e+00,0.000000000000000000e+00
2.163746750430835419e+00,1.890638667130093381e+03
2.644579361637687587e+00,1.532097609266797917e+03
3.125411972844539754e+00,1.392606898733608432e+03
3.606244584051392366e+00,1.214668731384909051e+03
4.087077195258244089e+00,1.033623705862121142e+03
4.567909806465096700e+00,9.228338893298821404e+02
5.048742417671949312e+00,7.886318224421248715e+02
5.529575028878801035e+00,7.009813910010531117e+02
6.010407640085653647e+00,6.278432235807664483e+02
6.491240251292506258e+00,5.465284184818314088e+02
6.972072862499357981e+00,4.832418402232859194e+02
7.452905473706209705e+00,4.561659150108847598e+02
7.933738084913062316e+00,4.066719412604889499e+02
8.414570696119914928e+00,3.702734634709652823e+02
8.895403307326766651e+00,3.473511586942331064e+02
9.376235918533620151e+00,3.206764024047806743e+02
9.857068529740471874e+00,2.929412583638517162e+02
1.033790114094732360e+01,2.824134722531288162e+02
1.081873375215417710e+01,2.608747359459341624e+02
1.129956636336102882e+01,2.455752217299360893e+02
1.178039897456788054e+01,2.362914138355891396e+02
1.226123158577473404e+01,2.284786084280914054e+02
1.274206419698158399e+01,2.042677805511443125e+02
1.322289680818843749e+01,2.060711307609963967e+02
1.370372941939529099e+01,1.882543369081613491e+02
1.418456203060214094e+01,1.913001452229267159e+02
1.466539464180899444e+01,1.764010782602544793e+02
1.514622725301584794e+01,1.845054868201654870e+02
1.562705986422269788e+01,1.624088764111353953e+02
1.610789247542955138e+01,1.762358944478373814e+02
1.658872508663640133e+01,1.584613522743382816e+02
1.706955769784325838e+01,1.652827328307859034e+02
1.755039030905010833e+01,1.535756273408442780e+02
1.803122292025695828e+01,1.405079168519687300e+02
1.851205553146381533e+01,1.321437189356231841e+02
1.899288814267066527e+01,1.268904874990107885e+02
1.947372075387751522e+01,1.282468345842950725e+02
1.995455336508437227e+01,1.186634833272604084e+02
2.043538597629122222e+01,1.159635323559978843e+02
2.091621858749807217e+01,1.165454507854525446e+02
2.139705119870492922e+01,1.102694713841101901e+02
2.187788380991177917e+01,1.076187722722608839e+02
2.235871642111862911e+01,0.000000000000000000e+00
2.283954903232548617e+01,1.070400700267608585e+02
2.332038164353233611e+01,1.044044120215709768e+02
2.380121425473918606e+01,0.000000000000000000e+00
