r,g(r)
3.535533905932737309e-01,1.285581123520978419e+00
1.060660171779821193e+00,1.118742185209680384e+00
1.767766952966368654e+00,1.161386302578248486e+00
2.474873734152915894e+00,7.830660651375530579e-01
3.181980515339463800e+00,1.172893857437174558e+00
3.889087296526010817e+00,1.175722750577848474e+00
4.596194077712558723e+00,5.927183192765910213e-01
5.303300858899105741e+00,1.192668015065754927e+00
6.010407640085653647e+00,1.198920519023023656e+00
6.717514421272200664e+00,6.697816440600662391e-01
7.424621202458748570e+00,1.090278663550664273e+00
8.131727983645294699e+00,9.951262053624234660e-01
8.838834764831844382e+00,1.016824013664981541e+00
9.545941546018390511e+00,9.412061858241979051e-01
1.025304832720493664e+01,1.051355776832169520e+00
1.096015510839148632e+01,1.065473777284135837e+00
1.166726188957803245e+01,7.699329740791396315e-01
1.237436867076458213e+01,1.161480889068480460e+00
1.308147545195112826e+01,1.098831254303062277e+00
1.378858223313767439e+01,8.470248614631554762e-01
1.449568901432422408e+01,9.296533576877665794e-01
1.520279579551077020e+01,1.122537588533397468e+00
1.590990257669731811e+01,1.016112889539713349e+00
1.661700935788386602e+01,7.567559165324470039e-01
1.732411613907041215e+01,1.140634066463134255e+00
1.803122292025695828e+01,1.045936833637339136e+00
1.873832970144350796e+01,9.586098642464535580e-01
1.944543648263005409e+01,1.016018022837170465e+00
2.015254326381660377e+01,9.804975617750266714e-01
2.085965004500314990e+01,1.076476237293426674e+00
2.156675682618969603e+01,7.913513617163513425e-01
2.227386360737624571e+01,1.169535463422818555e+00
2.298097038856279184e+01,1.016357015578067235e+00
2.368807716974934152e+01,8.723180940416538354e-01
2.439518395093588765e+01,1.141692100343909999e+00
2.510229073212243378e+01,7.336911571108284402e-01
2.580939751330898346e+01,7.658734106515802109e-01
2.651650429449552959e+01,5.421964210838412512e-01
2.722361107568207927e+01,4.949695821497743786e-01
2.793071785686862540e+01,3.859168968042733794e-01
2.863782463805517153e+01,3.764215451842274907e-01
2.934493141924171766e+01,3.061682747286749162e-01
3.005203820042826734e+01,2.391807492959340253e-01
3.075914498161481347e+01,2.044933857381736608e-01
3.146625176280136316e+01,1.713738840051485246e-01
3.217335854398790929e+01,1.396695030436315155e-01
3.288046532517445542e+01,1.093004121756571967e-01
3.358757210636100865e+01,8.026950573462308947e-02
3.429467888754754767e+01,5.241766847882569497e-02
3.500178566873410091e+01,2.567614789135111084e-02
