k,S(k)
3.535533905932737864e-01,3.980164959565048180e-27
1.060660171779821415e+00,5.142199792619585423e+03
1.767766952966368876e+00,4.651157213725391557e+03
2.474873734152916782e+00,4.333077939303890162e+03
3.181980515339463800e+00,3.742637628337460683e+03
3.889087296526011706e+00,3.111715154478527893e+03
4.596194077712558723e+00,2.712853835066931424e+03
5.303300858899106629e+00,2.395945082366033148e+03
6.010407640085654535e+00,2.031899708653271318e+03
6.717514421272202441e+00,1.791972488099713473e+03
7.424621202458749458e+00,1.607282698622259886e+03
8.131727983645298252e+00,1.360637660730985999e+03
8.838834764831844382e+00,1.224397134071343771e+03
9.545941546018392287e+00,1.094818190275844699e+03
1.025304832720494019e+01,9.775656086549394104e+02
1.096015510839148632e+01,8.928319687770939481e+02
1.166726188957803600e+01,8.190854423598641461e+02
1.237436867076458213e+01,7.546904481475968396e+02
1.308147545195113004e+01,6.844784736758989538e+02
1.378858223313767795e+01,6.291793270271615484e+02
1.449568901432422408e+01,5.924754925614471404e+02
1.520279579551077376e+01,5.581881503973431791e+02
1.590990257669731989e+01,5.210180188459115698e+02
1.661700935788386602e+01,4.825760427952524765e+02
1.732411613907041570e+01,4.715929865351525905e+02
1.803122292025696538e+01,4.450646071579176350e+02
1.873832970144351151e+01,4.249296054661831477e+02
1.944543648263005764e+01,4.025660757519994490e+02
2.015254326381660377e+01,3.990355411886989145e+02
2.085965004500315345e+01,3.759648397351858762e+02
2.156675682618970313e+01,3.635298274773406888e+02
2.227386360737624926e+01,3.619290281435726797e+02
2.298097038856279539e+01,3.471946529334726392e+02
2.368807716974934152e+01,3.368803502813389059e+02
2.439518395093589120e+01,3.339735574060413228e+02
2.510229073212244089e+01,3.181572763280967138e+02
2.580939751330898702e+01,2.972993373165771231e+02
2.651650429449553314e+01,2.795497803354678581e+02
2.722361107568207927e+01,2.632681966956990891e+02
2.793071785686862896e+01,2.547179105179449436e+02
2.863782463805517864e+01,2.453343362310374403e+02
2.934493141924172477e+01,2.392316646818839274e+02
3.005203820042827090e+01,2.329975850904762069e+02
3.075914498161481703e+01,2.290545887999940646e+02
3.146625176280136671e+01,2.272819201399693156e+02
3.217335854398791639e+01,2.215977176351040328e+02
3.288046532517446252e+01,2.201066731264323266e+02
3.358757210636100865e+01,2.143417206952535423e+02
3.429467888754756189e+01,2.095223786106389809e+02
3.500178566873410091e+01,2.058178861151164654e+02
