k,S(k)
2.404163056034261392e-01,2.589928271845565178e-12
7.212489168102784731e-01,0.000000000000000000e+00
1.202081528017130641e+00,3.219928749772705487e+03
1.682914139223983030e+00,0.000000000000000000e+00
2.163746750430835419e+00,2.307211167915763781e+03
2.644579361637687587e+00,1.736926757837875584e+03
3.125411972844539754e+00,1.557067926325732287e+03
3.606244584051392366e+00,1.289799857096001233e+03
4.087077195258244089e+00,1.082231182311802286e+03
4.567909806465096700e+00,9.586132564184669036e+02
5.048742417671949312e+00,7.986946547136406025e+02
5.529575028878801035e+00,7.012696212802776472e+02
6.010407640085653647e+00,6.192963404671303351e+02
6.491240251292506258e+00,5.340616500661778900e+02
6.972072862499357981e+00,4.672220611064026343e+02
7.452905473706209705e+00,4.379942439581614622e+02
7.933738084913062316e+00,3.857878294862448456e+02
8.414570696119914928e+00,3.505289876239909859e+02
8.895403307326766651e+00,3.314569855900369362e+02
9.376235918533620151e+00,3.000278434311768478e+02
9.857068529740471874e+00,2.792272783513527656e+02
1.033790114094732360e+01,2.687160498905279837e+02
1.081873375215417710e+01,2.445872444818549241e+02
1.129956636336102882e+01,2.275708589617166240e+02
1.178039897456788054e+01,2.192261440492155486e+02
1.226123158577473404e+01,2.103695498816633744e+02
1.274206419698158399e+01,1.902597803869045094e+02
1.322289680818843749e+01,1.918316025006719485e+02
1.370372941939529099e+01,1.754113675981458869e+02
1.418456203060214094e+01,1.766274757933442174e+02
1.466539464180899444e+01,1.613563793415384282e+02
1.514622725301584794e+01,1.705500006287594488e+02
1.562705986422269788e+01,1.501293165609369851e+02
1.610789247542955138e+01,1.632226302645126168e+02
1.658872508663640133e+01,1.461888748469673374e+02
1.706955769784325838e+01,1.520976450011986003e+02
1.755039030905010833e+01,1.411500685028601652e+02
1.803122292025695828e+01,1.297865084698732971e+02
1.851205553146381533e+01,1.211504766245097642e+02
1.899288814267066527e+01,1.159214877534679999e+02
1.947372075387751522e+01,1.177738742959378442e+02
1.995455336508437227e+01,1.100414385402206250e+02
2.043538597629122222e+01,1.053231149287370272e+02
2.091621858749807217e+01,1.057780371072030619e+02
2.139705119870492922e+01,1.009954326617318401e+02
2.187788380991177917e+01,9.765871695081816029e+01
2.235871642111862911e+01,0.000000000000000000e+00
2.283954903232548617e+01,9.715854418597052700e+01
2.332038164353233611e+01,9.703189134376106040e+01
2.380121425473918606e+01,0.000000000000000000e+00
