k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,4.158032660429477801e+03
1.767766952966368876e+00,3.952152397293308240e+03
2.474873734152916782e+00,3.629225788963133709e+03
3.181980515339463800e+00,3.245880903521134769e+03
3.889087296526011706e+00,2.772100204605210365e+03
4.596194077712558723e+00,2.598225505041499673e+03
5.303300858899106629e+00,2.252097586156563466e+03
6.010407640085654535e+00,1.974108078465447306e+03
6.717514421272202441e+00,1.740282426394926006e+03
7.424621202458749458e+00,1.543074075622177361e+03
8.131727983645298252e+00,1.353669938459352124e+03
8.838834764831844382e+00,1.222470720262810801e+03
9.545941546018392287e+00,1.098359823465452109e+03
1.025304832720494019e+01,1.002064582926424919e+03
1.096015510839148632e+01,9.002688553900205761e+02
1.166726188957803600e+01,8.371607908241943505e+02
1.237436867076458213e+01,7.673519414989817733e+02
1.308147545195113004e+01,7.092610980505462521e+02
1.378858223313767795e+01,6.536670812947378408e+02
1.449568901432422408e+01,6.234683920154179759e+02
1.520279579551077376e+01,5.798730840358987280e+02
1.590990257669731989e+01,5.421850258919953376e+02
1.661700935788386602e+01,5.093282772899370912e+02
1.732411613907041570e+01,4.949821495449635904e+02
1.803122292025696538e+01,4.643555258634669372e+02
1.873832970144351151e+01,4.468201471654393231e+02
1.944543648263005764e+01,4.268602146421953307e+02
2.015254326381660377e+01,4.197295413265520097e+02
2.085965004500315345e+01,3.943665381770148883e+02
2.156675682618970313e+01,3.845092695330373544e+02
2.227386360737624926e+01,3.800992455395395950e+02
2.298097038856279539e+01,3.660829076812212861e+02
2.368807716974934152e+01,3.559168950150855721e+02
2.439518395093589120e+01,3.503598375960168028e+02
2.510229073212244089e+01,3.355339343538936987e+02
2.580939751330898702e+01,3.138664445016765967e+02
2.651650429449553314e+01,2.930430943893004496e+02
2.722361107568207927e+01,2.811359158684209092e+02
2.793071785686862896e+01,2.692014581840074925e+02
2.863782463805517864e+01,2.601530255738429673e+02
2.934493141924172477e+01,2.500272804612504842e+02
3.005203820042827090e+01,2.451260195289077899e+02
3.075914498161481703e+01,2.395336320779489938e+02
3.146625176280136671e+01,2.376258019420152436e+02
3.217335854398791639e+01,2.339551041674098144e+02
3.288046532517446252e+01,2.317640431547948481e+02
3.358757210636100865e+01,2.291160320767816927e+02
3.429467888754756189e+01,2.330458758513007069e+02
3.500178566873410091e+01,2.311156002877428080e+02
