k,S(k)
2.404163056034261392e-01,2.589928271845565178e-12
7.212489168102784731e-01,0.000000000000000000e+00
1.202081528017130641e+00,3.584082588926338940e+04
1.682914139223983030e+00,0.000000000000000000e+00
2.163746750430835419e+00,7.027401150804322469e+02
2.644579361637687587e+00,4.214061596119103683e+02
3.125411972844539754e+00,1.914031099198398124e+03
3.606244584051392366e+00,2.772155581026964910e+02
4.087077195258244089e+00,3.058480460692817360e+02
4.567909806465096700e+00,2.016860828936880239e+02
5.048742417671949312e+00,3.027592611569817223e+02
5.529575028878801035e+00,1.366059863038964579e+02
6.010407640085653647e+00,1.497325297228839247e+02
6.491240251292506258e+00,9.512255875021860163e+01
6.972072862499357981e+00,1.071944185024762390e+02
7.452905473706209705e+00,8.303977289753137825e+01
7.933738084913062316e+00,7.208528776019490181e+01
8.414570696119914928e+00,5.810837517770080751e+01
8.895403307326766651e+00,6.570814659999692253e+01
9.376235918533620151e+00,4.815725776848390183e+01
9.857068529740471874e+00,4.628383722079087192e+01
1.033790114094732360e+01,4.357793562136254906e+01
1.081873375215417710e+01,3.940939415778564126e+01
1.129956636336102882e+01,3.489008627987942646e+01
1.178039897456788054e+01,3.375250940172357161e+01
1.226123158577473404e+01,3.321951214914961525e+01
1.274206419698158399e+01,2.636040922684201959e+01
1.322289680818843749e+01,2.995747939907347757e+01
1.370372941939529099e+01,2.463074671838334950e+01
1.418456203060214094e+01,2.719870296245600017e+01
1.466539464180899444e+01,2.286472899758635435e+01
1.514622725301584794e+01,2.630246355872598230e+01
1.562705986422269788e+01,2.056730989373828677e+01
1.610789247542955138e+01,2.520357291166055447e+01
1.658872508663640133e+01,2.032292930798608310e+01
1.706955769784325838e+01,2.296422867450870342e+01
1.755039030905010833e+01,1.956260318312367019e+01
1.803122292025695828e+01,1.726679566391127096e+01
1.851205553146381533e+01,1.587829882601086418e+01
1.899288814267066527e+01,1.524434657197690512e+01
1.947372075387751522e+01,1.534726693141379883e+01
1.995455336508437227e+01,1.421230495407659866e+01
2.043538597629122222e+01,1.356321709651412100e+01
2.091621858749807217e+01,1.389025397913732007e+01
2.139705119870492922e+01,1.304680898072946071e+01
2.187788380991177917e+01,1.278220386299458156e+01
2.235871642111862911e+01,0.000000000000000000e+00
2.283954903232548617e+01,1.243061650919535843e+01
2.332038164353233611e+01,1.243954081306740633e+01
2.380121425473918606e+01,0.000000000000000000e+00
