r,g(r)
3.535533905932737309e-01,1.285581123520978419e+00
1.060660171779821193e+00,1.214313407440800407e+00
1.767766952966368654e+00,1.271771614625139657e+00
2.474873734152915894e+00,8.508746096693370342e-01
3.181980515339463800e+00,1.250927547048414690e+00
3.889087296526010817e+00,1.230877749213269423e+00
4.596194077712558723e+00,6.145781509071838178e-01
5.303300858899105741e+00,1.223809469752716872e+00
6.010407640085653647e+00,1.218894916564025488e+00
6.717514421272200664e+00,6.773095790660348392e-01
7.424621202458748570e+00,1.098419441102174599e+00
8.131727983645294699e+00,9.991781291501021789e-01
8.838834764831844382e+00,1.018811783767280321e+00
9.545941546018390511e+00,9.417398639092208201e-01
1.025304832720493664e+01,1.051059142827732273e+00
1.096015510839148632e+01,1.064083783310494136e+00
1.166726188957803245e+01,7.684708277310623448e-01
1.237436867076458213e+01,1.158647893140039464e+00
1.308147545195112826e+01,1.095770624850973096e+00
1.378858223313767439e+01,8.443412820937156171e-01
1.449568901432422408e+01,9.265672335548469363e-01
1.520279579551077020e+01,1.119209697795060077e+00
1.590990257669731811e+01,1.013108492684648310e+00
1.661700935788386602e+01,7.544442743740340518e-01
1.732411613907041215e+01,1.137343841746653261e+00
1.803122292025695828e+01,1.042950684712250276e+00
1.873832970144350796e+01,9.558000581416310482e-01
1.944543648263005409e+01,1.013099174051874218e+00
2.015254326381660377e+01,9.775098235853135753e-01
2.085965004500314990e+01,1.073179209775511511e+00
2.156675682618969603e+01,7.890060503229566757e-01
2.227386360737624571e+01,1.165985404186730134e+00
2.298097038856279184e+01,1.013267403242539277e+00
2.368807716974934152e+01,8.696221182437768871e-01
2.439518395093588765e+01,1.137874712111815123e+00
2.510229073212243378e+01,7.313034027603119158e-01
2.580939751330898346e+01,7.632869421738872617e-01
2.651650429449552959e+01,5.403256063261918651e-01
2.722361107568207927e+01,4.933984047413698670e-01
2.793071785686862540e+01,3.847218565978999805e-01
2.863782463805517153e+01,3.752050263227419968e-01
2.934493141924171766e+01,3.051183555360046373e-01
3.005203820042826734e+01,2.383338026365292017e-01
3.075914498161481347e+01,2.037604185345527064e-01
3.146625176280136316e+01,1.707119115863965919e-01
3.217335854398790929e+01,1.391137241105779576e-01
3.288046532517445542e+01,1.088721977812382030e-01
3.358757210636100865e+01,7.993693362610239384e-02
3.429467888754754767e+01,5.218033816615538778e-02
3.500178566873410091e+01,2.555423156003569854e-02
