k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,2.091303518112414167e+04
1.767766952966368876e+00,1.427164915246099918e+04
2.474873734152916782e+00,1.016988012178366625e+04
3.181980515339463800e+00,6.430308562309273839e+03
3.889087296526011706e+00,4.302118726881984003e+03
4.596194077712558723e+00,3.532529775679706290e+03
5.303300858899106629e+00,2.671833659940767575e+03
6.010407640085654535e+00,2.029858095615547882e+03
6.717514421272202441e+00,1.693209221829469698e+03
7.424621202458749458e+00,1.428475540594143467e+03
8.131727983645298252e+00,1.189157393298223951e+03
8.838834764831844382e+00,1.041319312941094267e+03
9.545941546018392287e+00,8.986829246513332237e+02
1.025304832720494019e+01,7.980429919708409443e+02
1.096015510839148632e+01,7.016058537696194435e+02
1.166726188957803600e+01,6.362595391349808551e+02
1.237436867076458213e+01,5.818566662644224152e+02
1.308147545195113004e+01,5.235415652052457745e+02
1.378858223313767795e+01,4.759364066337523127e+02
1.449568901432422408e+01,4.465856926339627648e+02
1.520279579551077376e+01,4.183649191159672114e+02
1.590990257669731989e+01,3.873582876259749810e+02
1.661700935788386602e+01,3.595319085761355495e+02
1.732411613907041570e+01,3.511813209163011607e+02
1.803122292025696538e+01,3.255944541713882927e+02
1.873832970144351151e+01,3.116469134435574233e+02
1.944543648263005764e+01,2.946627015498597757e+02
2.015254326381660377e+01,2.920689060007878197e+02
2.085965004500315345e+01,2.731047877153247896e+02
2.156675682618970313e+01,2.640423484307543731e+02
2.227386360737624926e+01,2.615314544961464662e+02
2.298097038856279539e+01,2.511127300702698051e+02
2.368807716974934152e+01,2.449295463523459659e+02
2.439518395093589120e+01,2.399917259617848799e+02
2.510229073212244089e+01,2.292669847690440008e+02
2.580939751330898702e+01,2.131918429685436820e+02
2.651650429449553314e+01,1.990336372338267950e+02
2.722361107568207927e+01,1.882344690552135376e+02
2.793071785686862896e+01,1.823011585188772585e+02
2.863782463805517864e+01,1.757370748042942239e+02
2.934493141924172477e+01,1.702674701976628739e+02
3.005203820042827090e+01,1.642520440282723371e+02
3.075914498161481703e+01,1.618935161556844378e+02
3.146625176280136671e+01,1.609759865698562180e+02
3.217335854398791639e+01,1.584615079114995240e+02
3.288046532517446252e+01,1.555662631587658495e+02
3.358757210636100865e+01,1.541848373121603970e+02
3.429467888754756189e+01,1.523199441666106395e+02
3.500178566873410091e+01,1.498368240286055197e+02
