k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,2.653607891844785627e+03
1.767766952966368876e+00,2.503844827804111446e+03
2.474873734152916782e+00,2.442756427527159758e+03
3.181980515339463800e+00,2.288392992758015225e+03
3.889087296526011706e+00,2.110254700992266862e+03
4.596194077712558723e+00,1.963830355756651898e+03
5.303300858899106629e+00,1.828746988291533171e+03
6.010407640085654535e+00,1.651252119070483332e+03
6.717514421272202441e+00,1.522078685956316349e+03
7.424621202458749458e+00,1.404199391548615040e+03
8.131727983645298252e+00,1.271817765688772170e+03
8.838834764831844382e+00,1.174753807404777945e+03
9.545941546018392287e+00,1.090434162662014842e+03
1.025304832720494019e+01,1.006705500966153409e+03
1.096015510839148632e+01,9.164940388109820333e+02
1.166726188957803600e+01,8.594716845349799996e+02
1.237436867076458213e+01,8.029708493132792455e+02
1.308147545195113004e+01,7.535823470797879509e+02
1.378858223313767795e+01,7.000246169145414115e+02
1.449568901432422408e+01,6.685444191655072927e+02
1.520279579551077376e+01,6.317194608826896456e+02
1.590990257669731989e+01,5.923226380508695001e+02
1.661700935788386602e+01,5.608333481173787050e+02
1.732411613907041570e+01,5.474829628937990265e+02
1.803122292025696538e+01,5.165215605035701856e+02
1.873832970144351151e+01,4.961131003163313835e+02
1.944543648263005764e+01,4.758298176481779933e+02
2.015254326381660377e+01,4.709406285756800230e+02
2.085965004500315345e+01,4.478657887035724912e+02
2.156675682618970313e+01,4.332464663077813611e+02
2.227386360737624926e+01,4.310326667479101843e+02
2.298097038856279539e+01,4.159797602051518766e+02
2.368807716974934152e+01,4.061697860626190391e+02
2.439518395093589120e+01,3.986676893837662305e+02
2.510229073212244089e+01,3.831778342581484935e+02
2.580939751330898702e+01,3.610795057291849730e+02
2.651650429449553314e+01,3.392835381220970135e+02
2.722361107568207927e+01,3.239152498398201487e+02
2.793071785686862896e+01,3.137824051315301404e+02
2.863782463805517864e+01,3.015370971135440072e+02
2.934493141924172477e+01,2.898517518756411278e+02
3.005203820042827090e+01,2.877395554105597171e+02
3.075914498161481703e+01,2.786690402878437567e+02
3.146625176280136671e+01,2.756501232212963259e+02
3.217335854398791639e+01,2.732995083176812159e+02
3.288046532517446252e+01,2.720219703459117682e+02
3.358757210636100865e+01,2.695982536920433859e+02
3.429467888754756189e+01,2.647473661496318869e+02
3.500178566873410091e+01,2.690055015798280351e+02
