r,g(r)
3.535533905932737309e-01,1.285581123520978419e+00
1.060660171779821193e+00,1.303588259010407091e+00
1.767766952966368654e+00,1.396428954010842771e+00
2.474873734152915894e+00,9.401081216813177432e-01
3.181980515339463800e+00,1.378397726855752570e+00
3.889087296526010817e+00,1.344360256341429638e+00
4.596194077712558723e+00,6.668728016188982810e-01
5.303300858899105741e+00,1.313629014498412184e+00
6.010407640085653647e+00,1.292103160114115745e+00
6.717514421272200664e+00,7.120991357203450001e-01
7.424621202458748570e+00,1.146071737089302101e+00
8.131727983645294699e+00,1.033863310131555746e+00
8.838834764831844382e+00,1.046939841839017449e+00
9.545941546018390511e+00,9.625385019274258491e-01
1.025304832720493664e+01,1.068734433049542076e+00
1.096015510839148632e+01,1.076809455334048371e+00
1.166726188957803245e+01,7.751319089526551576e-01
1.237436867076458213e+01,1.165297548891895962e+00
1.308147545195112826e+01,1.098291296759607683e+00
1.378858223313767439e+01,8.442565565410250494e-01
1.449568901432422408e+01,9.248682544428675767e-01
1.520279579551077020e+01,1.114639888454738603e+00
1.590990257669731811e+01,1.007185842832607481e+00
1.661700935788386602e+01,7.493204207461239275e-01
1.732411613907041215e+01,1.128069016709821071e+00
1.803122292025695828e+01,1.033440463049179137e+00
1.873832970144350796e+01,9.461168974777670604e-01
1.944543648263005409e+01,1.002196468108522032e+00
2.015254326381660377e+01,9.665450368525616565e-01
2.085965004500314990e+01,1.060761652832020951e+00
2.156675682618969603e+01,7.796197487681071348e-01
2.227386360737624571e+01,1.151988354135084824e+00
2.298097038856279184e+01,1.001167412101200194e+00
2.368807716974934152e+01,8.592034647901243272e-01
2.439518395093588765e+01,1.124320712125670418e+00
2.510229073212243378e+01,7.228429895544549177e-01
2.580939751330898346e+01,7.544976948502351011e-01
2.651650429449552959e+01,5.341944574153215664e-01
2.722361107568207927e+01,4.878398705601680319e-01
2.793071785686862540e+01,3.803231033293058005e-01
2.863782463805517153e+01,3.708914105125709071e-01
2.934493141924171766e+01,3.015393494346575443e-01
3.005203820042826734e+01,2.354565711707516662e-01
3.075914498161481347e+01,2.012222832587922672e-01
3.146625176280136316e+01,1.685369176923340873e-01
3.217335854398790929e+01,1.372929273267806949e-01
3.288046532517445542e+01,1.074324706416823622e-01
3.358757210636100865e+01,7.884932172057373956e-02
3.429467888754754767e+01,5.145797359500892815e-02
3.500178566873410091e+01,2.520457304636450346e-02
