k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,9.229539834474373492e+04
1.767766952966368876e+00,1.897663868660762819e+04
2.474873734152916782e+00,1.130169836170155759e+04
3.181980515339463800e+00,5.794331730015760513e+03
3.889087296526011706e+00,3.416709532167574707e+03
4.596194077712558723e+00,2.589703600065474802e+03
5.303300858899106629e+00,2.027402306224241329e+03
6.010407640085654535e+00,1.476413250253487149e+03
6.717514421272202441e+00,1.220533272758794965e+03
7.424621202458749458e+00,1.035899215583234991e+03
8.131727983645298252e+00,8.448540843723028502e+02
8.838834764831844382e+00,7.297422028346618390e+02
9.545941546018392287e+00,6.423769165020814853e+02
1.025304832720494019e+01,5.688777687277261066e+02
1.096015510839148632e+01,4.954437993788097856e+02
1.166726188957803600e+01,4.525617527299162361e+02
1.237436867076458213e+01,4.110430765498765027e+02
1.308147545195113004e+01,3.718670642619104569e+02
1.378858223313767795e+01,3.419926691631093831e+02
1.449568901432422408e+01,3.167911928990680508e+02
1.520279579551077376e+01,2.982445239255514480e+02
1.590990257669731989e+01,2.767551506277733324e+02
1.661700935788386602e+01,2.565450524932342660e+02
1.732411613907041570e+01,2.510229303732881476e+02
1.803122292025696538e+01,2.340613597368563603e+02
1.873832970144351151e+01,2.232695444963828209e+02
1.944543648263005764e+01,2.133793566027855491e+02
2.015254326381660377e+01,2.099873023563145296e+02
2.085965004500315345e+01,1.976575759803864685e+02
2.156675682618970313e+01,1.893328954132846320e+02
2.227386360737624926e+01,1.890584043044273699e+02
2.298097038856279539e+01,1.816811317392679257e+02
2.368807716974934152e+01,1.769984450960143363e+02
2.439518395093589120e+01,1.738341720456342614e+02
2.510229073212244089e+01,1.654879938077577322e+02
2.580939751330898702e+01,1.539694466232958519e+02
2.651650429449553314e+01,1.436493192780007178e+02
2.722361107568207927e+01,1.374390548371462160e+02
2.793071785686862896e+01,1.320771136033660298e+02
2.863782463805517864e+01,1.269595757025494578e+02
2.934493141924172477e+01,1.235270268769585584e+02
3.005203820042827090e+01,1.212228098509787202e+02
3.075914498161481703e+01,1.192921517357773666e+02
3.146625176280136671e+01,1.172033478870540648e+02
3.217335854398791639e+01,1.138516138599079284e+02
3.288046532517446252e+01,1.129480920540379998e+02
3.358757210636100865e+01,1.102779659515476851e+02
3.429467888754756189e+01,1.149661073774422562e+02
3.500178566873410091e+01,1.109322013721528037e+02
