k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,1.179550945248965036e+04
1.767766952966368876e+00,9.679552323148651340e+03
2.474873734152916782e+00,7.872324101760530539e+03
3.181980515339463800e+00,5.683818829766874842e+03
3.889087296526011706e+00,4.065879697805080013e+03
4.596194077712558723e+00,3.395027620358257082e+03
5.303300858899106629e+00,2.718151183617909737e+03
6.010407640085654535e+00,2.131855254591115227e+03
6.717514421272202441e+00,1.801302684254842916e+03
7.424621202458749458e+00,1.558241472322722757e+03
8.131727983645298252e+00,1.309040769888532623e+03
8.838834764831844382e+00,1.117825991770404698e+03
9.545941546018392287e+00,9.944679960367659532e+02
1.025304832720494019e+01,8.818450351862205707e+02
1.096015510839148632e+01,7.816014898884775448e+02
1.166726188957803600e+01,7.137447006521661024e+02
1.237436867076458213e+01,6.470453769756395559e+02
1.308147545195113004e+01,5.854746721064665280e+02
1.378858223313767795e+01,5.372239676590270392e+02
1.449568901432422408e+01,4.983747605724760774e+02
1.520279579551077376e+01,4.693114072056303598e+02
1.590990257669731989e+01,4.335693663866921383e+02
1.661700935788386602e+01,4.034093881158405566e+02
1.732411613907041570e+01,3.967407391126957350e+02
1.803122292025696538e+01,3.675262490361726009e+02
1.873832970144351151e+01,3.504937526945711852e+02
1.944543648263005764e+01,3.331720846753061664e+02
2.015254326381660377e+01,3.277710536443242972e+02
2.085965004500315345e+01,3.096428478195867910e+02
2.156675682618970313e+01,2.973393020017390995e+02
2.227386360737624926e+01,2.965282302177755582e+02
2.298097038856279539e+01,2.852256307704856795e+02
2.368807716974934152e+01,2.764600145704819170e+02
2.439518395093589120e+01,2.723156598757135498e+02
2.510229073212244089e+01,2.589199305103805386e+02
2.580939751330898702e+01,2.410794863062762943e+02
2.651650429449553314e+01,2.251772462908855914e+02
2.722361107568207927e+01,2.135887455368640246e+02
2.793071785686862896e+01,2.044842130677979810e+02
2.863782463805517864e+01,1.987359925797046571e+02
2.934493141924172477e+01,1.916595603258268170e+02
3.005203820042827090e+01,1.883289580718348191e+02
3.075914498161481703e+01,1.820902512315416573e+02
3.146625176280136671e+01,1.823408630298399373e+02
3.217335854398791639e+01,1.793028543463593394e+02
3.288046532517446252e+01,1.754959264624389448e+02
3.358757210636100865e+01,1.764069492284017429e+02
3.429467888754756189e+01,1.711769928122247677e+02
3.500178566873410091e+01,1.755606485208745653e+02
