k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,4.112559256760888820e+04
1.767766952966368876e+00,2.411435071262767815e+04
2.474873734152916782e+00,9.809837297577880236e+03
3.181980515339463800e+00,6.690317375723641817e+03
3.889087296526011706e+00,3.957347435497991682e+03
4.596194077712558723e+00,3.303343473110292507e+03
5.303300858899106629e+00,2.321751798088115720e+03
6.010407640085654535e+00,1.743943212162921554e+03
6.717514421272202441e+00,1.504535413194902503e+03
7.424621202458749458e+00,1.230608994661138240e+03
8.131727983645298252e+00,1.031727990136683275e+03
8.838834764831844382e+00,8.847381472055742506e+02
9.545941546018392287e+00,7.692411216504758613e+02
1.025304832720494019e+01,6.876005906910680778e+02
1.096015510839148632e+01,5.947133203105993289e+02
1.166726188957803600e+01,5.467280642954189034e+02
1.237436867076458213e+01,4.861813195050430636e+02
1.308147545195113004e+01,4.475014138072460241e+02
1.378858223313767795e+01,4.036896835375234787e+02
1.449568901432422408e+01,3.792605208820944540e+02
1.520279579551077376e+01,3.521786706114120307e+02
1.590990257669731989e+01,3.279974998632274037e+02
1.661700935788386602e+01,3.136059304018809826e+02
1.732411613907041570e+01,3.035027586233210855e+02
1.803122292025696538e+01,2.724996829611274620e+02
1.873832970144351151e+01,2.591856930192220148e+02
1.944543648263005764e+01,2.523227585373117847e+02
2.015254326381660377e+01,2.483789428989430235e+02
2.085965004500315345e+01,2.312390036613821849e+02
2.156675682618970313e+01,2.225630042671209026e+02
2.227386360737624926e+01,2.238496618082495218e+02
2.298097038856279539e+01,2.162586422796631780e+02
2.368807716974934152e+01,2.111289752326888731e+02
2.439518395093589120e+01,2.027654087928090689e+02
2.510229073212244089e+01,1.971340718229344020e+02
2.580939751330898702e+01,1.820243486941827200e+02
2.651650429449553314e+01,1.729427382158435194e+02
2.722361107568207927e+01,1.579498198106553275e+02
2.793071785686862896e+01,1.601954006676779159e+02
2.863782463805517864e+01,1.514719692822760919e+02
2.934493141924172477e+01,1.465559468701910362e+02
3.005203820042827090e+01,1.386800117745201533e+02
3.075914498161481703e+01,1.386801351739500774e+02
3.146625176280136671e+01,1.425339993678043697e+02
3.217335854398791639e+01,1.394031571690174474e+02
3.288046532517446252e+01,1.339763915860111467e+02
3.358757210636100865e+01,1.362269398619150707e+02
3.429467888754756189e+01,1.343457902631909917e+02
3.500178566873410091e+01,1.317219324161825114e+02
