k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,2.477730851829429739e+05
1.767766952966368876e+00,8.842802933768540242e+03
2.474873734152916782e+00,4.846208327213396842e+03
3.181980515339463800e+00,5.113627167221578929e+03
3.889087296526011706e+00,1.610273288512676345e+03
4.596194077712558723e+00,1.248747685391927462e+03
5.303300858899106629e+00,1.002089992460219037e+03
6.010407640085654535e+00,6.691080206178696699e+02
6.717514421272202441e+00,5.231060466016076589e+02
7.424621202458749458e+00,4.467745288918394522e+02
8.131727983645298252e+00,3.631838425326194510e+02
8.838834764831844382e+00,3.082301700539769627e+02
9.545941546018392287e+00,2.650592563010085314e+02
1.025304832720494019e+01,2.379296054822673341e+02
1.096015510839148632e+01,2.091481726386966500e+02
1.166726188957803600e+01,1.891650587814301616e+02
1.237436867076458213e+01,1.730983894643791814e+02
1.308147545195113004e+01,1.579847707421467362e+02
1.378858223313767795e+01,1.458040964692290231e+02
1.449568901432422408e+01,1.348630799840093175e+02
1.520279579551077376e+01,1.269577294015206519e+02
1.590990257669731989e+01,1.179083904130777825e+02
1.661700935788386602e+01,1.104875285653780423e+02
1.732411613907041570e+01,1.082865903529805109e+02
1.803122292025696538e+01,1.015017918669860819e+02
1.873832970144351151e+01,9.785066282667528981e+01
1.944543648263005764e+01,9.308853308651882230e+01
2.015254326381660377e+01,9.204394818568601977e+01
2.085965004500315345e+01,8.685415606654306941e+01
2.156675682618970313e+01,8.411382481463887473e+01
2.227386360737624926e+01,8.365117981357035148e+01
2.298097038856279539e+01,8.019348992917610985e+01
2.368807716974934152e+01,7.811193063226241406e+01
2.439518395093589120e+01,7.736166409851398384e+01
2.510229073212244089e+01,7.379044103759977702e+01
2.580939751330898702e+01,6.955148180206047925e+01
2.651650429449553314e+01,6.475947938244638635e+01
2.722361107568207927e+01,6.203753460488972848e+01
2.793071785686862896e+01,6.055528766591879730e+01
2.863782463805517864e+01,5.820164522255546302e+01
2.934493141924172477e+01,5.649496377823422222e+01
3.005203820042827090e+01,5.535626570300856031e+01
3.075914498161481703e+01,5.402248490276201665e+01
3.146625176280136671e+01,5.314575894585893678e+01
3.217335854398791639e+01,5.272181194462972087e+01
3.288046532517446252e+01,5.229694922226487108e+01
3.358757210636100865e+01,5.166467132217190539e+01
3.429467888754756189e+01,5.236239849212214637e+01
3.500178566873410091e+01,5.144509769401586396e+01
