k,S(k)
2.404163056034261392e-01,2.589928271845565178e-12
7.212489168102784731e-01,0.000000000000000000e+00
1.202081528017130641e+00,1.537345497388600052e+04
1.682914139223983030e+00,0.000000000000000000e+00
2.163746750430835419e+00,3.208881795150808102e+03
2.644579361637687587e+00,1.785167490586940403e+03
3.125411972844539754e+00,1.478558701196989887e+03
3.606244584051392366e+00,1.063867155616560467e+03
4.087077195258244089e+00,8.297337723584697642e+02
4.567909806465096700e+00,7.108381024729474120e+02
5.048742417671949312e+00,5.550693720822368959e+02
5.529575028878801035e+00,4.755950194137870426e+02
6.010407640085653647e+00,4.135839803896307103e+02
6.491240251292506258e+00,3.458542443718415598e+02
6.972072862499357981e+00,2.952903375735866689e+02
7.452905473706209705e+00,2.724471840451499247e+02
7.933738084913062316e+00,2.426736928105488573e+02
8.414570696119914928e+00,2.168243860056543610e+02
8.895403307326766651e+00,2.017653886673903969e+02
9.376235918533620151e+00,1.849648280074796389e+02
9.857068529740471874e+00,1.684477372644772686e+02
1.033790114094732360e+01,1.615848793810129962e+02
1.081873375215417710e+01,1.479130477225756692e+02
1.129956636336102882e+01,1.382299469094130586e+02
1.178039897456788054e+01,1.316885119124775656e+02
1.226123158577473404e+01,1.270989948590184468e+02
1.274206419698158399e+01,1.132209302296405014e+02
1.322289680818843749e+01,1.154318143453978678e+02
1.370372941939529099e+01,1.047502625235826059e+02
1.418456203060214094e+01,1.060844766297292523e+02
1.466539464180899444e+01,9.685947268621769979e+01
1.514622725301584794e+01,1.016821990656282253e+02
1.562705986422269788e+01,8.904171357735150139e+01
1.610789247542955138e+01,9.738408003103189969e+01
1.658872508663640133e+01,8.737444444512834707e+01
1.706955769784325838e+01,9.135864143850020014e+01
1.755039030905010833e+01,8.409298653079406449e+01
1.803122292025695828e+01,7.704234411485566625e+01
1.851205553146381533e+01,7.255722538944772282e+01
1.899288814267066527e+01,6.958926838761803424e+01
1.947372075387751522e+01,6.959442277568552981e+01
1.995455336508437227e+01,6.482812217038834035e+01
2.043538597629122222e+01,6.329448726402041103e+01
2.091621858749807217e+01,6.314521926376842487e+01
2.139705119870492922e+01,6.053494832992949881e+01
2.187788380991177917e+01,5.942541518872882023e+01
2.235871642111862911e+01,0.000000000000000000e+00
2.283954903232548617e+01,5.767395514577847138e+01
2.332038164353233611e+01,5.794920190609275323e+01
2.380121425473918606e+01,0.000000000000000000e+00
