k,S(k)
2.404163056034261392e-01,2.589928271845565178e-12
7.212489168102784731e-01,0.000000000000000000e+00
1.202081528017130641e+00,3.059456919628781179e+04
1.682914139223983030e+00,0.000000000000000000e+00
2.163746750430835419e+00,1.594151862429655012e+03
2.644579361637687587e+00,8.749813512701002765e+02
3.125411972844539754e+00,1.229990456030753421e+03
3.606244584051392366e+00,5.557376215196238718e+02
4.087077195258244089e+00,4.522435379091111827e+02
4.567909806465096700e+00,3.617157948569051769e+02
5.048742417671949312e+00,2.939068655983178360e+02
5.529575028878801035e+00,2.358464774266166160e+02
6.010407640085653647e+00,2.061212272533768157e+02
6.491240251292506258e+00,1.673853160150897565e+02
6.972072862499357981e+00,1.443949846410123996e+02
7.452905473706209705e+00,1.331757106286306680e+02
7.933738084913062316e+00,1.155662424853193357e+02
8.414570696119914928e+00,1.026455586520477112e+02
8.895403307326766651e+00,9.765773849690202724e+01
9.376235918533620151e+00,8.714456663716333651e+01
9.857068529740471874e+00,8.038224429317983777e+01
1.033790114094732360e+01,7.710152547873178719e+01
1.081873375215417710e+01,7.003093260697204414e+01
1.129956636336102882e+01,6.628502746363697895e+01
1.178039897456788054e+01,6.359543309232333286e+01
1.226123158577473404e+01,6.082899989664038998e+01
1.274206419698158399e+01,5.362450656964691831e+01
1.322289680818843749e+01,5.529513415814027155e+01
1.370372941939529099e+01,4.987870445391273933e+01
1.418456203060214094e+01,5.128866664667441455e+01
1.466539464180899444e+01,4.684015885086081710e+01
1.514622725301584794e+01,4.912304596996969508e+01
1.562705986422269788e+01,4.311277366507601982e+01
1.610789247542955138e+01,4.744013144852848285e+01
1.658872508663640133e+01,4.199216351882908782e+01
1.706955769784325838e+01,4.395108379253075270e+01
1.755039030905010833e+01,4.072045907459961711e+01
1.803122292025695828e+01,3.742720371074231878e+01
1.851205553146381533e+01,3.484664573442878321e+01
1.899288814267066527e+01,3.407730257874766266e+01
1.947372075387751522e+01,3.421218688823078224e+01
1.995455336508437227e+01,3.176341667539501756e+01
2.043538597629122222e+01,3.069375190500247186e+01
2.091621858749807217e+01,3.126054300008190268e+01
2.139705119870492922e+01,2.952429867208066838e+01
2.187788380991177917e+01,2.896326787505108413e+01
2.235871642111862911e+01,0.000000000000000000e+00
2.283954903232548617e+01,2.856191119754828733e+01
2.332038164353233611e+01,2.828593992599939355e+01
2.380121425473918606e+01,0.000000000000000000e+00
