k,S(k)
1.414213562373095034e-01,1.209352618047887518e-10
4.242640687119285103e-01,0.000000000000000000e+00
7.071067811865474617e-01,0.000000000000000000e+00
9.899494936611665796e-01,1.902600765508496352e+03
1.272792206135785475e+00,0.000000000000000000e+00
1.555634918610404593e+00,9.380467601810202041e+02
1.838477631085023489e+00,0.000000000000000000e+00
2.121320343559642829e+00,4.372044479630176284e+02
2.404163056034261281e+00,0.000000000000000000e+00
2.687005768508880621e+00,0.000000000000000000e+00
2.969848480983499517e+00,2.389517474392284271e+02
3.252691193458118413e+00,2.088218923818110966e+02
3.535533905932737753e+00,1.587051326218579561e+02
3.818376618407356649e+00,0.000000000000000000e+00
4.101219330881975544e+00,1.331767460325230275e+02
4.384062043356594884e+00,1.124157558151300549e+02
4.666904755831213336e+00,0.000000000000000000e+00
4.949747468305832676e+00,8.924168255778175762e+01
5.232590180780452016e+00,9.225829892557955247e+01
5.515432893255070468e+00,7.898858598902336325e+01
5.798275605729688920e+00,6.753300497388907786e+01
6.081118318204309148e+00,7.118830434390483219e+01
6.363961030678927600e+00,6.103865405342848760e+01
6.646803743153546051e+00,5.584984233548281907e+01
6.929646455628166279e+00,6.004132911664740391e+01
7.212489168102784731e+00,5.303375720086664558e+01
7.495331880577403183e+00,4.778722132882209905e+01
7.778174593052023411e+00,4.061542113993066039e+01
8.061017305526641863e+00,4.788127050302555432e+01
8.343860018001260315e+00,4.771475229416765274e+01
8.626702730475880543e+00,4.004465323444476610e+01
8.909545442950498995e+00,4.234357650486872870e+01
9.192388155425117446e+00,4.244264509400132823e+01
9.475230867899735898e+00,3.743895048015675542e+01
9.758073580374356126e+00,3.662475503942630439e+01
1.004091629284897458e+01,3.575250900607432669e+01
1.032375900532359481e+01,3.701439478437083608e+01
1.060660171779821326e+01,2.812261325385479438e+01
1.088944443027283171e+01,3.149479398685807041e+01
1.117228714274745016e+01,3.027200180435180954e+01
1.145512985522206861e+01,2.656470417524805328e+01
1.173797256769668884e+01,2.888844569333368639e+01
1.202081528017130729e+01,2.519883577351525616e+01
1.230365799264592752e+01,2.582127209920633959e+01
1.258650070512054597e+01,0.000000000000000000e+00
1.286934341759516442e+01,2.538809203880050092e+01
1.315218613006978288e+01,0.000000000000000000e+00
1.343502884254440310e+01,2.409451291243074067e+01
1.371787155501902156e+01,0.000000000000000000e+00
1.400071426749364178e+01,0.000000000000000000e+00
