k,S(k)
1.414213562373095034e-01,1.209352618047887518e-10
4.242640687119285103e-01,0.000000000000000000e+00
7.071067811865474617e-01,0.000000000000000000e+00
9.899494936611665796e-01,2.985253385346088180e+03
1.272792206135785475e+00,0.000000000000000000e+00
1.555634918610404593e+00,9.367671562019596649e+02
1.838477631085023489e+00,0.000000000000000000e+00
2.121320343559642829e+00,3.830174101690008115e+02
2.404163056034261281e+00,0.000000000000000000e+00
2.687005768508880621e+00,0.000000000000000000e+00
2.969848480983499517e+00,2.152502798010276308e+02
3.252691193458118413e+00,1.800107857880933580e+02
3.535533905932737753e+00,1.361538250178039107e+02
3.818376618407356649e+00,0.000000000000000000e+00
4.101219330881975544e+00,1.122209649898415478e+02
4.384062043356594884e+00,9.186527275596614572e+01
4.666904755831213336e+00,0.000000000000000000e+00
4.949747468305832676e+00,7.466652809490646803e+01
5.232590180780452016e+00,7.727127585586030989e+01
5.515432893255070468e+00,6.635416027741879930e+01
5.798275605729688920e+00,5.763645784605407840e+01
6.081118318204309148e+00,6.027341277852728041e+01
6.363961030678927600e+00,5.047192986974739881e+01
6.646803743153546051e+00,4.807319377301911345e+01
6.929646455628166279e+00,4.906295481531269331e+01
7.212489168102784731e+00,4.450963669940085055e+01
7.495331880577403183e+00,3.957121344162858634e+01
7.778174593052023411e+00,3.324134565893569970e+01
8.061017305526641863e+00,4.024216428154387160e+01
8.343860018001260315e+00,3.967579128186073945e+01
8.626702730475880543e+00,3.307894444750373708e+01
8.909545442950498995e+00,3.491582494622389987e+01
9.192388155425117446e+00,3.412607867947556173e+01
9.475230867899735898e+00,3.144420258818366420e+01
9.758073580374356126e+00,3.010589184797861861e+01
1.004091629284897458e+01,3.019996154755450135e+01
1.032375900532359481e+01,3.022749464489207227e+01
1.060660171779821326e+01,2.360244476804267322e+01
1.088944443027283171e+01,2.564134371177173932e+01
1.117228714274745016e+01,2.601400155055523200e+01
1.145512985522206861e+01,2.233858867119965907e+01
1.173797256769668884e+01,2.436631428766908414e+01
1.202081528017130729e+01,2.086895080870904451e+01
1.230365799264592752e+01,2.286667113672913842e+01
1.258650070512054597e+01,0.000000000000000000e+00
1.286934341759516442e+01,2.100917967427562871e+01
1.315218613006978288e+01,0.000000000000000000e+00
1.343502884254440310e+01,2.095221580937774775e+01
1.371787155501902156e+01,0.000000000000000000e+00
1.400071426749364178e+01,0.000000000000000000e+00
