T,C_per_site
5.500000000000000444e-01,1.015244929254793815e+00
6.400000000000000133e-01,7.223387490234927100e-01
7.299999999999999822e-01,4.142292925497619849e-01
8.200000000000000622e-01,3.036069302500548073e-01
9.100000000000000311e-01,2.133259190921927284e-01
1.000000000000000000e+00,1.709742231000214718e-01
