k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,2.735871985274632971e+04
1.767766952966368876e+00,1.528525180174677371e+04
2.474873734152916782e+00,1.080198808106219076e+04
3.181980515339463800e+00,6.676254627804081792e+03
3.889087296526011706e+00,4.282337186460555131e+03
4.596194077712558723e+00,3.310119199387579101e+03
5.303300858899106629e+00,2.591733680453370653e+03
6.010407640085654535e+00,1.979216427260124874e+03
6.717514421272202441e+00,1.637441286784088561e+03
7.424621202458749458e+00,1.382380192798615781e+03
8.131727983645298252e+00,1.144233027808362749e+03
8.838834764831844382e+00,9.900191769873888461e+02
9.545941546018392287e+00,8.658372758261236868e+02
1.025304832720494019e+01,7.715681108344268750e+02
1.096015510839148632e+01,6.715438588650096108e+02
1.166726188957803600e+01,6.051324682126845573e+02
1.237436867076458213e+01,5.563400154066354162e+02
1.308147545195113004e+01,5.050083007524348773e+02
1.378858223313767795e+01,4.644249205873686606e+02
1.449568901432422408e+01,4.292958976924473973e+02
1.520279579551077376e+01,3.986565417403247693e+02
1.590990257669731989e+01,3.713086420994930563e+02
1.661700935788386602e+01,3.452171929127094927e+02
1.732411613907041570e+01,3.362519043155451186e+02
1.803122292025696538e+01,3.127220307375759489e+02
1.873832970144351151e+01,2.983649299491758597e+02
1.944543648263005764e+01,2.836641766067028811e+02
2.015254326381660377e+01,2.779926013231353750e+02
2.085965004500315345e+01,2.620774145275508431e+02
2.156675682618970313e+01,2.531650519911001709e+02
2.227386360737624926e+01,2.502833648594150304e+02
2.298097038856279539e+01,2.400313022928458508e+02
2.368807716974934152e+01,2.346577290227407104e+02
2.439518395093589120e+01,2.305950140221008553e+02
2.510229073212244089e+01,2.180202639238723634e+02
2.580939751330898702e+01,2.051596700534382194e+02
2.651650429449553314e+01,1.914770717156299042e+02
2.722361107568207927e+01,1.790304898640935960e+02
2.793071785686862896e+01,1.737616692974555974e+02
2.863782463805517864e+01,1.667058057917636518e+02
2.934493141924172477e+01,1.614819697050958780e+02
3.005203820042827090e+01,1.583327678681043267e+02
3.075914498161481703e+01,1.552093054377724854e+02
3.146625176280136671e+01,1.543290765286803321e+02
3.217335854398791639e+01,1.507431295366508266e+02
3.288046532517446252e+01,1.498243616789572172e+02
3.358757210636100865e+01,1.468411642110611979e+02
3.429467888754756189e+01,1.432889381035279257e+02
3.500178566873410091e+01,1.446157767717325271e+02
