k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,2.802815352332033799e+05
1.767766952966368876e+00,5.790626789991954865e+03
2.474873734152916782e+00,7.643341276958823073e+03
3.181980515339463800e+00,5.886739810669670987e+03
3.889087296526011706e+00,1.320947897679814787e+03
4.596194077712558723e+00,8.931414484478480063e+02
5.303300858899106629e+00,1.079262015782656135e+03
6.010407640085654535e+00,4.998865654001209577e+02
6.717514421272202441e+00,4.385161695830744861e+02
7.424621202458749458e+00,3.182864480102475113e+02
8.131727983645298252e+00,2.608312386040051933e+02
8.838834764831844382e+00,2.105510819145249855e+02
9.545941546018392287e+00,1.624491524097176409e+02
1.025304832720494019e+01,1.558178231684948969e+02
1.096015510839148632e+01,1.241714709558318788e+02
1.166726188957803600e+01,1.062033703589304849e+02
1.237436867076458213e+01,9.737272894738757145e+01
1.308147545195113004e+01,8.768740033723183558e+01
1.378858223313767795e+01,7.738203645036560374e+01
1.449568901432422408e+01,6.967616223177988388e+01
1.520279579551077376e+01,6.645527958179590655e+01
1.590990257669731989e+01,6.057733824647235821e+01
1.661700935788386602e+01,5.364727307872795592e+01
1.732411613907041570e+01,5.423112022866892801e+01
1.803122292025696538e+01,4.963455345225965942e+01
1.873832970144351151e+01,4.700540904572807221e+01
1.944543648263005764e+01,4.425667488865797594e+01
2.015254326381660377e+01,4.446079291857436289e+01
2.085965004500315345e+01,4.089799218571018002e+01
2.156675682618970313e+01,3.880994519606775128e+01
2.227386360737624926e+01,3.937507301003073934e+01
2.298097038856279539e+01,3.771312389323621517e+01
2.368807716974934152e+01,3.605038272332170379e+01
2.439518395093589120e+01,3.550929134797689102e+01
2.510229073212244089e+01,3.362370229208147521e+01
2.580939751330898702e+01,3.030437451779750546e+01
2.651650429449553314e+01,2.780189272695805158e+01
2.722361107568207927e+01,2.598764905251740132e+01
2.793071785686862896e+01,2.505815599460101240e+01
2.863782463805517864e+01,2.408854017347237075e+01
2.934493141924172477e+01,2.343849669871115182e+01
3.005203820042827090e+01,2.257391192141973946e+01
3.075914498161481703e+01,2.230760414067779962e+01
3.146625176280136671e+01,2.197447635967629509e+01
3.217335854398791639e+01,2.177839162733943468e+01
3.288046532517446252e+01,2.150519968890017353e+01
3.358757210636100865e+01,2.124693832430410012e+01
3.429467888754756189e+01,2.109862796389443673e+01
3.500178566873410091e+01,2.155141760143599683e+01
