r,g(r)
3.535533905932737309e-01,1.285581123520978419e+00
1.060660171779821193e+00,1.088404339875540083e+00
1.767766952966368654e+00,1.132188242253130639e+00
2.474873734152915894e+00,7.676981340378489227e-01
3.181980515339463800e+00,1.158275593171823603e+00
3.889087296526010817e+00,1.167560849213673757e+00
4.596194077712558723e+00,5.899179826637376278e-01
5.303300858899105741e+00,1.189626649965136673e+00
6.010407640085653647e+00,1.197476057518323866e+00
6.717514421272200664e+00,6.694086823396813157e-01
7.424621202458748570e+00,1.089740952606086166e+00
8.131727983645294699e+00,9.948574315888633057e-01
8.838834764831844382e+00,1.016667417838304388e+00
9.545941546018390511e+00,9.414565253064293149e-01
1.025304832720493664e+01,1.051853007612659319e+00
1.096015510839148632e+01,1.066169326985757504e+00
1.166726188957803245e+01,7.704512469803105335e-01
1.237436867076458213e+01,1.162262295716300908e+00
1.308147545195112826e+01,1.099257882226447380e+00
1.378858223313767439e+01,8.473735888558650009e-01
1.449568901432422408e+01,9.300525721892997089e-01
1.520279579551077020e+01,1.123364882228186090e+00
1.590990257669731811e+01,1.016992350717214944e+00
1.661700935788386602e+01,7.572943997267287397e-01
1.732411613907041215e+01,1.141588069296150421e+00
1.803122292025695828e+01,1.046781874465183559e+00
1.873832970144350796e+01,9.592932321012744845e-01
1.944543648263005409e+01,1.016773813883938393e+00
2.015254326381660377e+01,9.811027865363057821e-01
2.085965004500314990e+01,1.077136980440632108e+00
2.156675682618969603e+01,7.916911679189313489e-01
2.227386360737624571e+01,1.170225988976169251e+00
2.298097038856279184e+01,1.016760119628130399e+00
2.368807716974934152e+01,8.727398841785567463e-01
2.439518395093588765e+01,1.141974464056298766e+00
2.510229073212243378e+01,7.339435696689042832e-01
2.580939751330898346e+01,7.659542662417503367e-01
2.651650429449552959e+01,5.422662315310656789e-01
2.722361107568207927e+01,4.952599255608923223e-01
2.793071785686862540e+01,3.861907673049652101e-01
2.863782463805517153e+01,3.766337318370868159e-01
2.934493141924171766e+01,3.062730689701691489e-01
3.005203820042826734e+01,2.392508985576589087e-01
3.075914498161481347e+01,2.045718650790379900e-01
3.146625176280136316e+01,1.713465930297807804e-01
3.217335854398790929e+01,1.396473878257387391e-01
3.288046532517445542e+01,1.092681872280098915e-01
3.358757210636100865e+01,8.019786472889621487e-02
3.429467888754754767e+01,5.235483787730736693e-02
3.500178566873410091e+01,2.564683049084979724e-02
