k,S(k)
3.535533905932737864e-01,5.684341886080801487e-14
1.060660171779821415e+00,1.070146362949081959e+04
1.767766952966368876e+00,8.770664403666462022e+03
2.474873734152916782e+00,7.275589313955111720e+03
3.181980515339463800e+00,5.339375099720964499e+03
3.889087296526011706e+00,3.981303887466114702e+03
4.596194077712558723e+00,3.276567353966765040e+03
5.303300858899106629e+00,2.672408373756189576e+03
6.010407640085654535e+00,2.139355989768286236e+03
6.717514421272202441e+00,1.812250095812506743e+03
7.424621202458749458e+00,1.529406044278093759e+03
8.131727983645298252e+00,1.272258483532732953e+03
8.838834764831844382e+00,1.136512176558070450e+03
9.545941546018392287e+00,1.055853410472080213e+03
1.025304832720494019e+01,8.996687069214345911e+02
1.096015510839148632e+01,7.862667520546218611e+02
1.166726188957803600e+01,7.306761858721708904e+02
1.237436867076458213e+01,6.638096878357720243e+02
1.308147545195113004e+01,5.879637777869139654e+02
1.378858223313767795e+01,5.425933235528559635e+02
1.449568901432422408e+01,5.127481611538910329e+02
1.520279579551077376e+01,4.805293341381129721e+02
1.590990257669731989e+01,4.505619768823352160e+02
1.661700935788386602e+01,4.227227957147413804e+02
1.732411613907041570e+01,4.040880253031747316e+02
1.803122292025696538e+01,3.814913925965338422e+02
1.873832970144351151e+01,3.620867428832542032e+02
1.944543648263005764e+01,3.496616316910987621e+02
2.015254326381660377e+01,3.411423101540165135e+02
2.085965004500315345e+01,3.148602123388835139e+02
2.156675682618970313e+01,3.077291984726217038e+02
2.227386360737624926e+01,3.079584954531984522e+02
2.298097038856279539e+01,2.913137801678531673e+02
2.368807716974934152e+01,2.957362121969337636e+02
2.439518395093589120e+01,2.849009708406017012e+02
2.510229073212244089e+01,2.679056491503670259e+02
2.580939751330898702e+01,2.500577075703791081e+02
2.651650429449553314e+01,2.320219523815233345e+02
2.722361107568207927e+01,2.235611839587603527e+02
2.793071785686862896e+01,2.064868356093610657e+02
2.863782463805517864e+01,2.032359501265145809e+02
2.934493141924172477e+01,1.991198003436029467e+02
3.005203820042827090e+01,1.905699998801534889e+02
3.075914498161481703e+01,1.867338954093330869e+02
3.146625176280136671e+01,1.859396596568489599e+02
3.217335854398791639e+01,1.901340991363737771e+02
3.288046532517446252e+01,1.793793787318181785e+02
3.358757210636100865e+01,1.781206392803636049e+02
3.429467888754756189e+01,1.743000022917610465e+02
3.500178566873410091e+01,1.824469226403386415e+02
