k,S(k)
3.535533905932737864e-01,6.213548560685322231e-27
1.060660171779821415e+00,1.433599815598254208e+05
1.767766952966368876e+00,5.498921982020232826e+04
2.474873734152916782e+00,8.458220794878088782e+03
3.181980515339463800e+00,4.561572080399235347e+03
3.889087296526011706e+00,2.318884602420082501e+03
4.596194077712558723e+00,1.430613488659569157e+03
5.303300858899106629e+00,1.089476172903517863e+03
6.010407640085654535e+00,7.785547336582812932e+02
6.717514421272202441e+00,6.004736567033344272e+02
7.424621202458749458e+00,4.846386018153797295e+02
8.131727983645298252e+00,3.894799989341910305e+02
8.838834764831844382e+00,3.267602782568588964e+02
9.545941546018392287e+00,2.780144247247339990e+02
1.025304832720494019e+01,2.494504441689185512e+02
1.096015510839148632e+01,2.156767086087570249e+02
1.166726188957803600e+01,1.956284862570473138e+02
1.237436867076458213e+01,1.751542592630476349e+02
1.308147545195113004e+01,1.603206182788084391e+02
1.378858223313767795e+01,1.460687351763773734e+02
1.449568901432422408e+01,1.359500796101102935e+02
1.520279579551077376e+01,1.274395063299420627e+02
1.590990257669731989e+01,1.182980438249867490e+02
1.661700935788386602e+01,1.090438045338677853e+02
1.732411613907041570e+01,1.080202282340686537e+02
1.803122292025696538e+01,1.006432861468053517e+02
1.873832970144351151e+01,9.622347625588291464e+01
1.944543648263005764e+01,9.108749563974571117e+01
2.015254326381660377e+01,9.119016744602340907e+01
2.085965004500315345e+01,8.443330795143405965e+01
2.156675682618970313e+01,8.271468164750268670e+01
2.227386360737624926e+01,8.147889489867476698e+01
2.298097038856279539e+01,7.886821914216044149e+01
2.368807716974934152e+01,7.698341530041180647e+01
2.439518395093589120e+01,7.573859055267469387e+01
2.510229073212244089e+01,7.208782828152351385e+01
2.580939751330898702e+01,6.714553243290323792e+01
2.651650429449553314e+01,6.322859144880541038e+01
2.722361107568207927e+01,6.039400331715164327e+01
2.793071785686862896e+01,5.807632041181446425e+01
2.863782463805517864e+01,5.588749565010308373e+01
2.934493141924172477e+01,5.411185210876104179e+01
3.005203820042827090e+01,5.277581840022980941e+01
3.075914498161481703e+01,5.208772806731218452e+01
3.146625176280136671e+01,5.186470931533991546e+01
3.217335854398791639e+01,5.145953258267404351e+01
3.288046532517446252e+01,5.084716550015514258e+01
3.358757210636100865e+01,5.081475617509401843e+01
3.429467888754756189e+01,4.980647374049015497e+01
3.500178566873410091e+01,5.057092988826735080e+01
