T,E_per_site
2.999999999999999889e-01,-8.952474999999999739e-01
3.545454545454545525e-01,-8.822349999999999914e-01
4.090909090909091161e-01,-8.646375000000000588e-01
4.636363636363636243e-01,-8.405575000000000685e-01
5.181818181818181879e-01,-8.047374999999999945e-01
5.727272727272727515e-01,-7.629524999999999224e-01
6.272727272727273151e-01,-7.260325000000000806e-01
6.818181818181818787e-01,-6.943899999999999517e-01
7.363636363636364424e-01,-6.696925000000000239e-01
7.909090909090910060e-01,-6.505500000000000727e-01
8.454545454545454586e-01,-6.328424999999999745e-01
9.000000000000000222e-01,-6.210225000000000328e-01
