k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,2.754026971803256311e+05
1.767766952966368876e+00,5.361692411155392620e+03
2.474873734152916782e+00,5.346034042673388285e+03
3.181980515339463800e+00,5.517176220672921772e+03
3.889087296526011706e+00,1.517792680279387014e+03
4.596194077712558723e+00,1.031855242322207232e+03
5.303300858899106629e+00,9.339538637679521571e+02
6.010407640085654535e+00,5.804890035344121770e+02
6.717514421272202441e+00,4.203873867596959144e+02
7.424621202458749458e+00,3.520870243951952716e+02
8.131727983645298252e+00,2.834432918181068999e+02
8.838834764831844382e+00,2.380131580374258533e+02
9.545941546018392287e+00,1.962919892167268756e+02
1.025304832720494019e+01,1.762382451895848590e+02
1.096015510839148632e+01,1.517990495297991060e+02
1.166726188957803600e+01,1.322017423300172254e+02
1.237436867076458213e+01,1.220010869111521430e+02
1.308147545195113004e+01,1.100209697553981698e+02
1.378858223313767795e+01,9.987482920559976662e+01
1.449568901432422408e+01,9.269879593478152913e+01
1.520279579551077376e+01,8.659062351151578696e+01
1.590990257669731989e+01,8.110710960637149469e+01
1.661700935788386602e+01,7.394485319496735087e+01
1.732411613907041570e+01,7.373778045709997286e+01
1.803122292025696538e+01,6.819491876113168871e+01
1.873832970144351151e+01,6.558604205916182650e+01
1.944543648263005764e+01,6.191252832706889109e+01
2.015254326381660377e+01,6.175300454540084161e+01
2.085965004500315345e+01,5.783112447719996396e+01
2.156675682618970313e+01,5.567536992192983547e+01
2.227386360737624926e+01,5.565284553696083236e+01
2.298097038856279539e+01,5.328435604677716242e+01
2.368807716974934152e+01,5.180219643444353750e+01
2.439518395093589120e+01,5.096999384793335963e+01
2.510229073212244089e+01,4.889041489559772202e+01
2.580939751330898702e+01,4.535596860501929228e+01
2.651650429449553314e+01,4.198710834639712886e+01
2.722361107568207927e+01,3.991156761239486173e+01
2.793071785686862896e+01,3.857705172126279081e+01
2.863782463805517864e+01,3.746907400577735103e+01
2.934493141924172477e+01,3.658351422371950434e+01
3.005203820042827090e+01,3.566002681696452470e+01
3.075914498161481703e+01,3.474274175192886105e+01
3.146625176280136671e+01,3.467238431775619745e+01
3.217335854398791639e+01,3.412145260816674863e+01
3.288046532517446252e+01,3.338065048491682063e+01
3.358757210636100865e+01,3.275346538779129446e+01
3.429467888754756189e+01,3.270743984277699923e+01
3.500178566873410091e+01,3.266472354366237596e+01
