T,E_per_site
5.500000000000000444e-01,-8.435066000000001063e-01
6.400000000000000133e-01,-7.532043999999999961e-01
7.299999999999999822e-01,-7.016220000000000789e-01
8.200000000000000622e-01,-6.697497999999999507e-01
9.100000000000000311e-01,-6.464015999999999096e-01
1.000000000000000000e+00,-6.288726000000000038e-01
