k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,7.701325835079346689e+03
1.767766952966368876e+00,6.715207005607453539e+03
2.474873734152916782e+00,5.962114594117493652e+03
3.181980515339463800e+00,4.756686297809679672e+03
3.889087296526011706e+00,3.640550152680766132e+03
4.596194077712558723e+00,3.169470819274541100e+03
5.303300858899106629e+00,2.652902257450913567e+03
6.010407640085654535e+00,2.137615964211490791e+03
6.717514421272202441e+00,1.841050312306247406e+03
7.424621202458749458e+00,1.596784357648582727e+03
8.131727983645298252e+00,1.356497846342417688e+03
8.838834764831844382e+00,1.188150409878292294e+03
9.545941546018392287e+00,1.064552051133372515e+03
1.025304832720494019e+01,9.444717817633813866e+02
1.096015510839148632e+01,8.406911558449106678e+02
1.166726188957803600e+01,7.637513753232026374e+02
1.237436867076458213e+01,6.970652482757543567e+02
1.308147545195113004e+01,6.341337453636430155e+02
1.378858223313767795e+01,5.860409550126792055e+02
1.449568901432422408e+01,5.442761534875496636e+02
1.520279579551077376e+01,5.133348038726808227e+02
1.590990257669731989e+01,4.772815720365076686e+02
1.661700935788386602e+01,4.432461225090069661e+02
1.732411613907041570e+01,4.321432377176743671e+02
1.803122292025696538e+01,4.020497873960658239e+02
1.873832970144351151e+01,3.881001116603208061e+02
1.944543648263005764e+01,3.676444077560024084e+02
2.015254326381660377e+01,3.618981967733898841e+02
2.085965004500315345e+01,3.427275641185214567e+02
2.156675682618970313e+01,3.270175282771916727e+02
2.227386360737624926e+01,3.249239759227785953e+02
2.298097038856279539e+01,3.115112713678826140e+02
2.368807716974934152e+01,3.057013185500424015e+02
2.439518395093589120e+01,3.000616668169224681e+02
2.510229073212244089e+01,2.846472595409875908e+02
2.580939751330898702e+01,2.675360573637678954e+02
2.651650429449553314e+01,2.499008854199981329e+02
2.722361107568207927e+01,2.366594177972307023e+02
2.793071785686862896e+01,2.301781026926086327e+02
2.863782463805517864e+01,2.193574494685401248e+02
2.934493141924172477e+01,2.126340664693428835e+02
3.005203820042827090e+01,2.085320283459990947e+02
3.075914498161481703e+01,2.029317090968014554e+02
3.146625176280136671e+01,1.996377327785223770e+02
3.217335854398791639e+01,1.980532230170338721e+02
3.288046532517446252e+01,1.963503902270624053e+02
3.358757210636100865e+01,1.902713920359134931e+02
3.429467888754756189e+01,1.883324037789160172e+02
3.500178566873410091e+01,1.973777663074834550e+02
