k,S(k)
2.404163056034261392e-01,2.589928271845565178e-12
7.212489168102784731e-01,0.000000000000000000e+00
1.202081528017130641e+00,3.683765017673659895e+04
1.682914139223983030e+00,0.000000000000000000e+00
2.163746750430835419e+00,5.125631664182486702e+02
2.644579361637687587e+00,2.759749552472372898e+02
3.125411972844539754e+00,2.166246432128978995e+03
3.606244584051392366e+00,1.942104879617468214e+02
4.087077195258244089e+00,2.567510652949929977e+02
4.567909806465096700e+00,1.564960787602582570e+02
5.048742417671949312e+00,3.453215376562478696e+02
5.529575028878801035e+00,1.045820219894433336e+02
6.010407640085653647e+00,1.381551370597622679e+02
6.491240251292506258e+00,7.476750317402769497e+01
6.972072862499357981e+00,1.104356419663999276e+02
7.452905473706209705e+00,6.830182356248886322e+01
7.933738084913062316e+00,6.681940773201326067e+01
8.414570696119914928e+00,4.658091605462993101e+01
8.895403307326766651e+00,6.442529916794799760e+01
9.376235918533620151e+00,3.873216048119213895e+01
9.857068529740471874e+00,4.085813795501681511e+01
1.033790114094732360e+01,3.614311449923465602e+01
1.081873375215417710e+01,3.330006356033522508e+01
1.129956636336102882e+01,2.805772321542028536e+01
1.178039897456788054e+01,2.759388229358707889e+01
1.226123158577473404e+01,2.752993453752945285e+01
1.274206419698158399e+01,1.868775709362175874e+01
1.322289680818843749e+01,2.475539425424125994e+01
1.370372941939529099e+01,1.771492846771378993e+01
1.418456203060214094e+01,2.259854050112295099e+01
1.466539464180899444e+01,1.629759166888030819e+01
1.514622725301584794e+01,2.184019681048476258e+01
1.562705986422269788e+01,1.453402268687520404e+01
1.610789247542955138e+01,2.097732467469522533e+01
1.658872508663640133e+01,1.429078377552943913e+01
1.706955769784325838e+01,1.852533831047414381e+01
1.755039030905010833e+01,1.391437567637943928e+01
1.803122292025695828e+01,1.155970483921588787e+01
1.851205553146381533e+01,1.048949191414090620e+01
1.899288814267066527e+01,9.835226456366601866e+00
1.947372075387751522e+01,9.993622442609371603e+00
1.995455336508437227e+01,8.988351940242097271e+00
2.043538597629122222e+01,8.734885718628184748e+00
2.091621858749807217e+01,8.826909186310263777e+00
2.139705119870492922e+01,8.248669535891149707e+00
2.187788380991177917e+01,8.085688208753190054e+00
2.235871642111862911e+01,0.000000000000000000e+00
2.283954903232548617e+01,7.898804772729850932e+00
2.332038164353233611e+01,7.832705665578981069e+00
2.380121425473918606e+01,0.000000000000000000e+00
