k,S(k)
3.535533905932737864e-01,3.281005689359517419e-09
1.060660171779821415e+00,4.619605549518786574e+03
1.767766952966368876e+00,4.309429561061120694e+03
2.474873734152916782e+00,3.980268279993491888e+03
3.181980515339463800e+00,3.554464843993030172e+03
3.889087296526011706e+00,2.982203352695945796e+03
4.596194077712558723e+00,2.607348419492075664e+03
5.303300858899106629e+00,2.360325391049668724e+03
6.010407640085654535e+00,1.973476591734858175e+03
6.717514421272202441e+00,1.750990846930845919e+03
7.424621202458749458e+00,1.563130939588388628e+03
8.131727983645298252e+00,1.358279428089962039e+03
8.838834764831844382e+00,1.221909378734300390e+03
9.545941546018392287e+00,1.099691786179232167e+03
1.025304832720494019e+01,9.971396216440631406e+02
1.096015510839148632e+01,9.006387793767620451e+02
1.166726188957803600e+01,8.226951219583503416e+02
1.237436867076458213e+01,7.554875881336937482e+02
1.308147545195113004e+01,6.989467812170528305e+02
1.378858223313767795e+01,6.433748225290835308e+02
1.449568901432422408e+01,6.040644951042962703e+02
1.520279579551077376e+01,5.734594564148178506e+02
1.590990257669731989e+01,5.289309025243217093e+02
1.661700935788386602e+01,4.957945006878611025e+02
1.732411613907041570e+01,4.849992315333503257e+02
1.803122292025696538e+01,4.527396098309779404e+02
1.873832970144351151e+01,4.363064246311756733e+02
1.944543648263005764e+01,4.145958598990189898e+02
2.015254326381660377e+01,4.078175393225561720e+02
2.085965004500315345e+01,3.853453613022850845e+02
2.156675682618970313e+01,3.728912543446861037e+02
2.227386360737624926e+01,3.688065600782305751e+02
2.298097038856279539e+01,3.553938619759956055e+02
2.368807716974934152e+01,3.497442970485154774e+02
2.439518395093589120e+01,3.397002402309599915e+02
2.510229073212244089e+01,3.268511399275208191e+02
2.580939751330898702e+01,3.041154250861926585e+02
2.651650429449553314e+01,2.845373271598727456e+02
2.722361107568207927e+01,2.719206266303397683e+02
2.793071785686862896e+01,2.628012476192743065e+02
2.863782463805517864e+01,2.517208887916243327e+02
2.934493141924172477e+01,2.429257920314842636e+02
3.005203820042827090e+01,2.388376530379067049e+02
3.075914498161481703e+01,2.324423897082820076e+02
3.146625176280136671e+01,2.292826888875151212e+02
3.217335854398791639e+01,2.267130751153981123e+02
3.288046532517446252e+01,2.208529018412115761e+02
3.358757210636100865e+01,2.230446096487970919e+02
3.429467888754756189e+01,2.246405591794782595e+02
3.500178566873410091e+01,2.203253168077631301e+02
