k,S(k)
2.404163056034261392e-01,2.589928271845565178e-12
7.212489168102784731e-01,0.000000000000000000e+00
1.202081528017130641e+00,1.929624133524839863e+03
1.682914139223983030e+00,0.000000000000000000e+00
2.163746750430835419e+00,1.593556429640988654e+03
2.644579361637687587e+00,1.342871487345050582e+03
3.125411972844539754e+00,1.268286450141912837e+03
3.606244584051392366e+00,1.086005302134759631e+03
4.087077195258244089e+00,9.761155352759149082e+02
4.567909806465096700e+00,8.831530972161501722e+02
5.048742417671949312e+00,7.714601480100352546e+02
5.529575028878801035e+00,6.936180701690451542e+02
6.010407640085653647e+00,6.328087112873066644e+02
6.491240251292506258e+00,5.530110008561528048e+02
6.972072862499357981e+00,4.924102275457923383e+02
7.452905473706209705e+00,4.667211594335743712e+02
7.933738084913062316e+00,4.207153400171105204e+02
8.414570696119914928e+00,3.850816623504638301e+02
8.895403307326766651e+00,3.630004701874050852e+02
9.376235918533620151e+00,3.335024445849131780e+02
9.857068529740471874e+00,3.088133627693398466e+02
1.033790114094732360e+01,2.981436088139128060e+02
1.081873375215417710e+01,2.748578507758124942e+02
1.129956636336102882e+01,2.591746501626525969e+02
1.178039897456788054e+01,2.507392259553560052e+02
1.226123158577473404e+01,2.393962454785006742e+02
1.274206419698158399e+01,2.176713596674522080e+02
1.322289680818843749e+01,2.197958896744414119e+02
1.370372941939529099e+01,1.989767099005289310e+02
1.418456203060214094e+01,2.040311360594155872e+02
1.466539464180899444e+01,1.865567104247912766e+02
1.514622725301584794e+01,1.955739462027250397e+02
1.562705986422269788e+01,1.735711694371866827e+02
1.610789247542955138e+01,1.874025131310700658e+02
1.658872508663640133e+01,1.696476190113766620e+02
1.706955769784325838e+01,1.763224971834946473e+02
1.755039030905010833e+01,1.647856731972717057e+02
1.803122292025695828e+01,1.503336740567053766e+02
1.851205553146381533e+01,1.422674434549263083e+02
1.899288814267066527e+01,1.362256162071223571e+02
1.947372075387751522e+01,1.381380677458062110e+02
1.995455336508437227e+01,1.278617854069823778e+02
2.043538597629122222e+01,1.250429339440549370e+02
2.091621858749807217e+01,1.260919511324275959e+02
2.139705119870492922e+01,1.192612541877471557e+02
2.187788380991177917e+01,1.167001180537315861e+02
2.235871642111862911e+01,0.000000000000000000e+00
2.283954903232548617e+01,1.142673447513880660e+02
2.332038164353233611e+01,1.119565954018726188e+02
2.380121425473918606e+01,0.000000000000000000e+00
