r,g(r)
3.535533905932737309e-01,1.285581123520978419e+00
1.060660171779821193e+00,1.459876363119749110e+00
1.767766952966368654e+00,1.646627340000437201e+00
2.474873734152915894e+00,1.138076043583351904e+00
3.181980515339463800e+00,1.706635594609918982e+00
3.889087296526010817e+00,1.688175418746575396e+00
4.596194077712558723e+00,8.415260346356392418e-01
5.303300858899105741e+00,1.661504912739756534e+00
6.010407640085653647e+00,1.630734549520572951e+00
6.717514421272200664e+00,8.949349837419264819e-01
7.424621202458748570e+00,1.431972656211847106e+00
8.131727983645294699e+00,1.279854296209395281e+00
8.838834764831844382e+00,1.282197822917636287e+00
9.545941546018390511e+00,1.166040540079983368e+00
1.025304832720493664e+01,1.278984096415798133e+00
1.096015510839148632e+01,1.269593194765002764e+00
1.166726188957803245e+01,9.020224853254672492e-01
1.237436867076458213e+01,1.337536491643212200e+00
1.308147545195112826e+01,1.239490124208183053e+00
1.378858223313767439e+01,9.383361617194205806e-01
1.449568901432422408e+01,1.013820245948872101e+00
1.520279579551077020e+01,1.205117592583379915e+00
1.590990257669731811e+01,1.068808792871547508e+00
1.661700935788386602e+01,7.832637084557600993e-01
1.732411613907041215e+01,1.165350487826426029e+00
1.803122292025695828e+01,1.049955369076188694e+00
1.873832970144350796e+01,9.462202118506800597e-01
1.944543648263005409e+01,9.869797302821754492e-01
2.015254326381660377e+01,9.444149727787684023e-01
2.085965004500314990e+01,1.016733605852731204e+00
2.156675682618969603e+01,7.368001837423552303e-01
2.227386360737624571e+01,1.082646982321707751e+00
2.298097038856279184e+01,9.254555665293269229e-01
2.368807716974934152e+01,7.868354892836137982e-01
2.439518395093588765e+01,1.019786737115607300e+00
2.510229073212243378e+01,6.442404201961081656e-01
2.580939751330898346e+01,6.514966490242908304e-01
2.651650429449552959e+01,4.489609273741371198e-01
2.722361107568207927e+01,4.002555668440784808e-01
2.793071785686862540e+01,3.062364730847951244e-01
2.863782463805517153e+01,2.932521334670469271e-01
2.934493141924171766e+01,2.346577903268793897e-01
3.005203820042826734e+01,1.801949814640447789e-01
3.075914498161481347e+01,1.522429625766127670e-01
3.146625176280136316e+01,1.262166073381257025e-01
3.217335854398790929e+01,1.019271678053656621e-01
3.288046532517445542e+01,7.916337538569577503e-02
3.358757210636100865e+01,5.776558360805714859e-02
3.429467888754754767e+01,3.754844103653157128e-02
3.500178566873410091e+01,1.834618939062956575e-02
