k,S(k)
3.535533905932737864e-01,4.982427974524576173e-27
1.060660171779821415e+00,2.155103268520716811e+05
1.767766952966368876e+00,1.034160280736649656e+04
2.474873734152916782e+00,8.219440563275853492e+03
3.181980515339463800e+00,4.244590707840330651e+03
3.889087296526011706e+00,2.087118187724352083e+03
4.596194077712558723e+00,1.408205384022911403e+03
5.303300858899106629e+00,1.102273639191577331e+03
6.010407640085654535e+00,8.257434623967252492e+02
6.717514421272202441e+00,6.559337109246691853e+02
7.424621202458749458e+00,5.646573192847575910e+02
8.131727983645298252e+00,4.597115376411362604e+02
8.838834764831844382e+00,3.930769636816649495e+02
9.545941546018392287e+00,3.441585161691059511e+02
1.025304832720494019e+01,3.083245499975233201e+02
1.096015510839148632e+01,2.693469035825428932e+02
1.166726188957803600e+01,2.462064549370169573e+02
1.237436867076458213e+01,2.263266514727253593e+02
1.308147545195113004e+01,2.057982960269842749e+02
1.378858223313767795e+01,1.897059928543158094e+02
1.449568901432422408e+01,1.748312292559762113e+02
1.520279579551077376e+01,1.666146755464599778e+02
1.590990257669731989e+01,1.549702117691797696e+02
1.661700935788386602e+01,1.459591248799043228e+02
1.732411613907041570e+01,1.419324574525611240e+02
1.803122292025696538e+01,1.319222346257707841e+02
1.873832970144351151e+01,1.276822953602203228e+02
1.944543648263005764e+01,1.200677551615526255e+02
2.015254326381660377e+01,1.201172280359286191e+02
2.085965004500315345e+01,1.142768187008422984e+02
2.156675682618970313e+01,1.089345578729462716e+02
2.227386360737624926e+01,1.082486991781913872e+02
2.298097038856279539e+01,1.048827389109573858e+02
2.368807716974934152e+01,1.027846350491204959e+02
2.439518395093589120e+01,1.017587198872138288e+02
2.510229073212244089e+01,9.651309943034719652e+01
2.580939751330898702e+01,8.986560351504824951e+01
2.651650429449553314e+01,8.419145673275008335e+01
2.722361107568207927e+01,8.093148730383462919e+01
2.793071785686862896e+01,7.901089708734029671e+01
2.863782463805517864e+01,7.530866686647370045e+01
2.934493141924172477e+01,7.334689422335689812e+01
3.005203820042827090e+01,7.213240792633320098e+01
3.075914498161481703e+01,7.043955392174702013e+01
3.146625176280136671e+01,6.927417910564547299e+01
3.217335854398791639e+01,6.730858982019955761e+01
3.288046532517446252e+01,6.770467581447145733e+01
3.358757210636100865e+01,6.694283592077403000e+01
3.429467888754756189e+01,6.528716785011022239e+01
3.500178566873410091e+01,6.783613534723812677e+01
