k,S(k)
3.535533905932737864e-01,3.930567696731993208e-27
1.060660171779821415e+00,3.531511954560983213e+03
1.767766952966368876e+00,3.313736186909884964e+03
2.474873734152916782e+00,3.130874716993748734e+03
3.181980515339463800e+00,2.800867861267921398e+03
3.889087296526011706e+00,2.507583313386521240e+03
4.596194077712558723e+00,2.366662702340318901e+03
5.303300858899106629e+00,2.060612561547450241e+03
6.010407640085654535e+00,1.816234418525552883e+03
6.717514421272202441e+00,1.632099929887165217e+03
7.424621202458749458e+00,1.509306339122682402e+03
8.131727983645298252e+00,1.327457452048625100e+03
8.838834764831844382e+00,1.211491524888399908e+03
9.545941546018392287e+00,1.107311431068158981e+03
1.025304832720494019e+01,1.011147993802977567e+03
1.096015510839148632e+01,9.183126102500781371e+02
1.166726188957803600e+01,8.496745729763304098e+02
1.237436867076458213e+01,7.861472392222154895e+02
1.308147545195113004e+01,7.323830143729392148e+02
1.378858223313767795e+01,6.809337544042895161e+02
1.449568901432422408e+01,6.422222785976763362e+02
1.520279579551077376e+01,6.006078197762293485e+02
1.590990257669731989e+01,5.674387635675847150e+02
1.661700935788386602e+01,5.308749067237375812e+02
1.732411613907041570e+01,5.180496567718275855e+02
1.803122292025696538e+01,4.849630737904633975e+02
1.873832970144351151e+01,4.657991824379005266e+02
1.944543648263005764e+01,4.441672532625810845e+02
2.015254326381660377e+01,4.408150661389063316e+02
2.085965004500315345e+01,4.148435424163966445e+02
2.156675682618970313e+01,4.013889891711690439e+02
2.227386360737624926e+01,3.987636373726843999e+02
2.298097038856279539e+01,3.823171856330536684e+02
2.368807716974934152e+01,3.761695789513680666e+02
2.439518395093589120e+01,3.702618656156587917e+02
2.510229073212244089e+01,3.548931590110838670e+02
2.580939751330898702e+01,3.310944791597829067e+02
2.651650429449553314e+01,3.106304221056831807e+02
2.722361107568207927e+01,2.962485189026889429e+02
2.793071785686862896e+01,2.866584959234235725e+02
2.863782463805517864e+01,2.800469315263403587e+02
2.934493141924172477e+01,2.677311561984253103e+02
3.005203820042827090e+01,2.630047084931766790e+02
3.075914498161481703e+01,2.565109714160990393e+02
3.146625176280136671e+01,2.551114124908408485e+02
3.217335854398791639e+01,2.500806316464073404e+02
3.288046532517446252e+01,2.437375421600266350e+02
3.358757210636100865e+01,2.429390374943207576e+02
3.429467888754756189e+01,2.440773058071591208e+02
3.500178566873410091e+01,2.406765493914145964e+02
