k,S(k)
2.404163056034261392e-01,2.589928271845565178e-12
7.212489168102784731e-01,0.000000000000000000e+00
1.202081528017130641e+00,2.444983555605249421e+04
1.682914139223983030e+00,0.000000000000000000e+00
2.163746750430835419e+00,2.227073305220578277e+03
2.644579361637687587e+00,1.251903237456745273e+03
3.125411972844539754e+00,1.202844006561269907e+03
3.606244584051392366e+00,7.913017560022517500e+02
4.087077195258244089e+00,6.043000218801505525e+02
4.567909806465096700e+00,4.893668659929894602e+02
5.048742417671949312e+00,3.945629188612992380e+02
5.529575028878801035e+00,3.329329917313746705e+02
6.010407640085653647e+00,2.863565848730809194e+02
6.491240251292506258e+00,2.413897008040590606e+02
6.972072862499357981e+00,2.060008831694191542e+02
7.452905473706209705e+00,1.899370943385482065e+02
7.933738084913062316e+00,1.690574118211908967e+02
8.414570696119914928e+00,1.507604906272617882e+02
8.895403307326766651e+00,1.410994525315419708e+02
9.376235918533620151e+00,1.287908849668543212e+02
9.857068529740471874e+00,1.170574659275492593e+02
1.033790114094732360e+01,1.132673458057882954e+02
1.081873375215417710e+01,1.029473218855117835e+02
1.129956636336102882e+01,9.616328593636302458e+01
1.178039897456788054e+01,9.305232681946264961e+01
1.226123158577473404e+01,8.943791726193785507e+01
1.274206419698158399e+01,7.986645773854895936e+01
1.322289680818843749e+01,8.161144181459145841e+01
1.370372941939529099e+01,7.356649680657534418e+01
1.418456203060214094e+01,7.466041348000979383e+01
1.466539464180899444e+01,6.912939916055921685e+01
1.514622725301584794e+01,7.234989745735184385e+01
1.562705986422269788e+01,6.322058611323161870e+01
1.610789247542955138e+01,6.881009969374987634e+01
1.658872508663640133e+01,6.173551103099621429e+01
1.706955769784325838e+01,6.486160281971403663e+01
1.755039030905010833e+01,6.003079941055765545e+01
1.803122292025695828e+01,5.507152832206395487e+01
1.851205553146381533e+01,5.152024204159658893e+01
1.899288814267066527e+01,4.952182653404778989e+01
1.947372075387751522e+01,5.049964469824213609e+01
1.995455336508437227e+01,4.691784197291765679e+01
2.043538597629122222e+01,4.484701974908796274e+01
2.091621858749807217e+01,4.513032891737148589e+01
2.139705119870492922e+01,4.319496032894265625e+01
2.187788380991177917e+01,4.265448859262207293e+01
2.235871642111862911e+01,0.000000000000000000e+00
2.283954903232548617e+01,4.106521821521748450e+01
2.332038164353233611e+01,4.067883582782229013e+01
2.380121425473918606e+01,0.000000000000000000e+00
