T,C_per_site
2.999999999999999889e-01,1.284273618139546158e-01
3.545454545454545525e-01,2.074471186247630883e-01
4.090909090909091161e-01,3.453338553227106589e-01
4.636363636363636243e-01,5.802113049458915706e-01
5.181818181818181879e-01,9.089302674426515960e-01
5.727272727272727515e-01,9.668519344102590729e-01
6.272727272727273151e-01,7.415862183342217806e-01
6.818181818181818787e-01,5.571791290519796380e-01
7.363636363636364424e-01,4.248740265729367693e-01
7.909090909090910060e-01,3.422112204534194513e-01
8.454545454545454586e-01,2.662989296862937616e-01
9.000000000000000222e-01,2.313568445048572730e-01
